Developers,Name,Phase,Vaccine,Platform,N,Age (years),N_doses,Location,Location_clean,Location_status,alpha3,Latitude,Longitude,N_enrolled,Update_date,Update_link,Start_date,Primary_completion_date,Trial_number,Link,Status,Additional_links
,,,,,,,,,,,,,,,,,,,,,,
Osaka University/AnGes/Takara Bio,AG0302-COVID19,Phase II/III,AnGes AG0302-COVID19,DNA,500,≥18,2,Japan,Japan,Active/recruiting,JPN,36,138,Unknown,NA,NA,23/11/2020,27/05/2021,NCT04655625,https://clinicaltrials.gov/ct2/show/NCT04655625,"Active, not recruiting",NA
,,,,,,,,,,,,,,,,,,,,,,
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,ZF2001,Phase III,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit,29000,≥18,Unclear,China,Mainland China,Active/recruiting,CHN,35,105,Unknown,NA,NA,16/12/2020,30/04/2022,NCT04646590,https://clinicaltrials.gov/ct2/show/NCT04646590,Recruiting,NA
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,ZF2001,Phase III,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit,29000,≥18,Unclear,Ecuador,Mainland China,Not yet recruiting,ECU,-2,-77.5,Unknown,NA,NA,16/12/2020,30/04/2022,NCT04646590,https://clinicaltrials.gov/ct2/show/NCT04646590,Recruiting,NA
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,ZF2001,Phase III,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit,29000,≥18,Unclear,Indonesia,Mainland China,Not yet recruiting,IDN,-5,120,Unknown,NA,NA,16/12/2020,30/04/2022,NCT04646590,https://clinicaltrials.gov/ct2/show/NCT04646590,Recruiting,NA
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,ZF2001,Phase III,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit,29000,≥18,Unclear,Pakistan,Mainland China,Not yet recruiting,PAK,30,70,Unknown,NA,NA,16/12/2020,30/04/2022,NCT04646590,https://clinicaltrials.gov/ct2/show/NCT04646590,Recruiting,NA
Anhui Zhifei Longcom Biopharmaceutical/Chinese Academy of Sciences,ZF2001,Phase III,Anhui Zhifei Longcom Biopharmaceutical ZF2001,Protein subunit,29000,≥18,Unclear,Uzbekistan,Mainland China,Active/recruiting,UZB,41,64,Unknown,NA,NA,16/12/2020,30/04/2022,NCT04646590,https://clinicaltrials.gov/ct2/show/NCT04646590,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,USA,USA,Active/recruiting,USA,38,-97,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-choose-lead-mrna-vaccine-candidate-0
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,Argentina,Argentina,Active/recruiting,ARG,-34,-64,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,Brazil,Brazil,Active/recruiting,BRA,-10,-55,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,Germany,Germany,Active/recruiting,DEU,51,9,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,South Africa,South Africa,Active/recruiting,ZAF,-29,24,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b1/b2),Phase II/III,BioNTech/Pfizer BNT162,RNA,43998,18–85,2,Turkey,Turkey,Active/recruiting,TUR,39,35,"46,331 (100%)",05/02/2021,https://www.pfizer.com/science/coronavirus/vaccine,27/07/2020,03/08/2021,NCT04368728,https://clinicaltrials.gov/ct2/show/NCT04368728,"Active, not recruiting",NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b2),Phase III,BioNTech/Pfizer BNT162,RNA,1530,12–50,2,USA (lot/dose comparison),USA,Not yet recruiting,USA,38,-97,Unknown,NA,NA,15/02/2021,24/04/2021,NCT04713553,https://clinicaltrials.gov/ct2/show/NCT04713553,Recruiting,NA
BioNTech/Pfizer/Fosun Pharma,BNT162 (b2),Phase III,BioNTech/Pfizer BNT162,RNA,4000,≥18,2,USA (pregnancy),USA,Not yet recruiting,USA,38,-97,Unknown,NA,NA,15/02/2021,08/01/2023,NCT04754594,https://clinicaltrials.gov/ct2/show/NCT04754594,Not yet recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Bharat Biotech/ICMR/National Institute of Virology,COVAXIN,Phase III,Bharat Covaxin/BBV152,Inactivated,25800,≥18,2,India,India,Active/recruiting,IND,20,77,Unknown,NA,NA,25/11/2020,30/03/2021,NCT04641481,https://clinicaltrials.gov/ct2/show/NCT04641481,"Active, not recruiting",NA
,,,,,,,,,,,,,,,,,,,,,,
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,45000,≥18,2,Bahrain,Bahrain,Active/recruiting,BHR,26,50.55,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,45000,≥18,2,Egypt,Egypt,Active/recruiting,EGY,27,30,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,45000,≥18,2,Jordan,Jordan,Active/recruiting,JOR,31,36,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,45000,≥18,2,United Arab Emirates,United Arab Emirates,Active/recruiting,ARE,24,54,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,3000,18–85,2,Argentina,Argentina,Active/recruiting,ARG,-34,-64,Unknown,NA,NA,16/09/2020,01/12/2021,NCT04560881,https://clinicaltrials.gov/ct2/show/NCT04560881,"Active, not recruiting",NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,BBIBP-CorV,Phase III,Beijing/Sinopharm BBIBP-CorV,Inactivated,6000,18–60,2,Peru,Peru,Active/recruiting,PER,-10,-76,Unknown,NA,NA,10/09/2020,31/12/2020,NCT04612972,https://clinicaltrials.gov/ct2/show/NCT04612972,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,500,18–85,1,Russia,Russia,Active/recruiting,RUS,60,100,Unknown,NA,NA,11/09/2020,30/05/2021,NCT04540419,https://clinicaltrials.gov/ct2/show/NCT04540419,"Active, not recruiting",NA
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Argentina,Argentina,Active/recruiting,ARG,-34,-64,Unknown,NA,NA,15/09/2020,30/12/2021,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting,NA
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Chile,Chile,Active/recruiting,CHL,-30,-71,Unknown,NA,NA,15/09/2020,30/12/2021,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting,NA
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Mexico,Mexico,Active/recruiting,MEX,23,-102,Unknown,NA,NA,15/09/2020,30/12/2021,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting,NA
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Pakistan,Pakistan,Active/recruiting,PAK,30,70,Unknown,NA,NA,15/09/2020,30/12/2021,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting,NA
CanSino Biological Inc/Beijing Institute of Biotechnology,Ad5-nCoV,Phase III,Cansino Ad5-nCoV,Non-replicating viral vector,40000,≥18,1,Russia (multisite),Russia,Active/recruiting,RUS,60,100,Unknown,NA,NA,15/09/2020,30/12/2021,NCT04526990,https://clinicaltrials.gov/ct2/show/NCT04526990,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",Inactivated vaccine,Phase III,Chinese Academy of Medical Sciences vaccine,Inactivated,34020,≥18,2,Brazil,Brazil,Active/recruiting,BRA,-10,-55,Unknown,NA,NA,28/01/2021,30/09/2021,NCT04659239,https://clinicaltrials.gov/ct2/show/NCT04659239,Enrolling by invitation,NA
"Institute of Medical Biology,/Chinese Academy of Medical Sciences",Inactivated vaccine,Phase III,Chinese Academy of Medical Sciences vaccine,Inactivated,34020,≥18,2,Malaysia,Malaysia,Active/recruiting,MYS,2.5,112.5,Unknown,NA,NA,28/01/2021,30/09/2021,NCT04659239,https://clinicaltrials.gov/ct2/show/NCT04659239,Enrolling by invitation,NA
,,,,,,,,,,,,,,,,,,,,,,
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Belgium,Belgium,Not yet recruiting,BEL,50.8333,4,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Brazil,Brazil,Not yet recruiting,BRA,-10,-55,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Colombia,Colombia,Not yet recruiting,COL,4,-72,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Dominican Republic,Dominican Republic,Not yet recruiting,DOM,19,-70.6667,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Germany,Germany,Not yet recruiting,DEU,51,9,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Nepal,Nepal,Not yet recruiting,NPL,28,84,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Panama,Panama,Not yet recruiting,PAN,9,-80,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Philippines,Philippines,Not yet recruiting,PHL,13,122,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,Poland,Poland,Not yet recruiting,POL,52,20,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
Clover Biopharmaceuticals Inc/GSK/Dynavax,SCB-2019,Phase II/III,Clover SCB-2019,Protein subunit,22000,≥18,2,South Africa,South Africa,Not yet recruiting,ZAF,-29,24,Unknown,NA,NA,01/03/2021,31/07/2022,NCT04672395,https://clinicaltrials.gov/ct2/show/NCT04672395,Not yet recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Belgium,Belgium,Active/recruiting,BEL,50.8333,4,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Germany (multisite),Germany,Active/recruiting,DEU,51,9,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Mexico,Mexico,Active/recruiting,MEX,23,-102,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Netherlands,Netherlands,Active/recruiting,NLD,52.5,5.75,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Peru,Peru,Active/recruiting,PER,-10,-76,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase II/III,CureVac CVnCoV,RNA,36500,≥18,2,Spain,Spain,Active/recruiting,ESP,40,-4,Unknown,NA,NA,14/12/2020,05/03/2021,NCT04652102,https://clinicaltrials.gov/ct2/show/NCT04652102,Recruiting,NA
CureVac,CVnCoV,Phase III,CureVac CVnCoV,RNA,2520,≥18,2,Germany,Germany,Active/recruiting,DEU,51,9,Unknown,NA,NA,23/12/2020,30/06/2021,NCT04674189,https://clinicaltrials.gov/ct2/show/NCT04674189,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,33758,≥18,2,Russia,Russia,Active/recruiting,RUS,60,100,Unknown,NA,NA,07/09/2020,01/05/2021,NCT04530396,https://clinicaltrials.gov/ct2/show/NCT04530396,"Active, not recruiting",NA
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,100,18–60,2,Belarus,Belarus,Active/recruiting,BLR,53,28,Unknown,NA,NA,28/09/2020,28/03/2021,NCT04564716,https://clinicaltrials.gov/ct2/show/NCT04564716,"Active, not recruiting",NA
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,2000,≥18,2,Venezuela,Venezuela,Not yet recruiting,VEN,8,-66,Unknown,NA,NA,01/11/2020,31/10/2021,NCT04642339,https://clinicaltrials.gov/ct2/show/NCT04642339,Not yet recruiting,NA
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase II/III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,1600,≥18,2,India,India,Active/recruiting,IND,20,77,Unknown,NA,NA,30/11/2020,31/08/2021,NCT04640233,https://clinicaltrials.gov/ct2/show/NCT04640233,Recruiting,NA
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase II/III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,1000,≥18,2,United Arab Emirates,United Arab Emirates,Not yet recruiting,ARE,24,54,Unknown,NA,NA,01/12/2020,31/08/2021,NCT04656613,https://clinicaltrials.gov/ct2/show/NCT04656613,Not yet recruiting,NA
Gamaleya Research Institute,Gam-COVID-Vac/Sputnik V,Phase III,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector,6000,≥18,1,Russia (Sputnik-Light),Russia,Active/recruiting,RUS,60,100,Unknown,NA,NA,19/02/2021,31/12/2021,NCT04741061,https://clinicaltrials.gov/ct2/show/NCT04741061,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Inovio Pharmaceuticals/International Vaccine Institute,INO-4800,Phase II/III,Inovio INO-4800,DNA,401,≥18,2,USA,USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,30/11/2020,30/09/2022,NCT04642638,https://clinicaltrials.gov/ct2/show/NCT04642638,"Active, not recruiting",NA
,,,,,,,,,,,,,,,,,,,,,,
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,USA (1-dose),USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Argentina (1-dose),Argentina,Active/recruiting,ARG,-34,-64,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Brazil (1-dose),Brazil,Active/recruiting,BRA,-10,-55,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Chile (1-dose),Chile,Active/recruiting,CHL,-30,-71,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Colombia (1-dose),Colombia,Active/recruiting,COL,4,-72,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Mexico (1-dose),Mexico,Active/recruiting,MEX,23,-102,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,Peru (1-dose),Peru,Active/recruiting,PER,-10,-76,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,44325,≥18,1,South Africa (1-dose),South Africa,Active/recruiting,ZAF,-29,24,Unknown,NA,NA,07/09/2020,22/01/2021,NCT04505722,https://clinicaltrials.gov/ct2/show/NCT04505722,"Active, not recruiting",NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,USA (2-dose),USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Belgium (2-dose),Belgium,Active/recruiting,BEL,50.8333,4,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Brazil (2-dose),Brazil,Not yet recruiting,BRA,-10,-55,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Colombia (2-dose),Colombia,Active/recruiting,COL,4,-72,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,France (2-dose),France,Active/recruiting,FRA,46,2,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Germany (2-dose),Germany,Active/recruiting,DEU,51,9,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Philippines (2-dose),Philippines,Not yet recruiting,PHL,13,122,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,South Africa (2-dose),South Africa,Active/recruiting,ZAF,-29,24,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
