Metric,Vaccine,Summary
Manufacture projections,BioNTech/Pfizer BNT162b2,"Up to 2.5 billion doses in 2021 (<a href=""https://www.reuters.com/article/uk-health-coronavirus-biontech-target-idUKKBN2BM1A4"" target=""_blank"">30 Mar 2021</a>) "
Approval status,BioNTech/Pfizer BNT162b2,"Full or emergency use in numerous countries; granted emergency use approval by the WHO on <a href=""https://www.who.int/news/item/31-12-2020-who-issues-its-first-emergency-use-validation-for-a-covid-19-vaccine-and-emphasizes-need-for-equitable-global-access"" target=""_blank"">31 Dec 2020</a>"
,,
Developer(s),Beijing/Sinopharm BBIBP-CorV,"Beijing Institute of Biological Products, Sinopharm"
Platform,Beijing/Sinopharm BBIBP-CorV,Inactivated
Dosing,Beijing/Sinopharm BBIBP-CorV,"2 doses, intramuscular"
Description,Beijing/Sinopharm BBIBP-CorV,Inactivated vaccine administered with aluminium hydroxide adjuvant
Published results,Beijing/Sinopharm BBIBP-CorV,Phase I/II - see <b>Living review</b>
Efficacy data,Beijing/Sinopharm BBIBP-CorV,"Vaccine efficacy against COVID-19 reported to be 79% in a press release on <a href=""http://www.bjbpi.com/news_list.asp?id=787"" target=""_blank"">30 Dec 2020</a>); no supporting details provided"
Storage requirements,Beijing/Sinopharm BBIBP-CorV,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Beijing/Sinopharm BBIBP-CorV,No score available
Manufacture projections,Beijing/Sinopharm BBIBP-CorV,"Up to 1 billion doses in 2021 according to media reports (<a href=""https://www.reuters.com/article/us-health-coronavirus-china-vaccine/sinopharm-says-may-be-able-to-make-over-one-billion-coronavirus-vaccine-doses-in-2021-idINKBN2750VB"" target=""_blank"">20 Oct 2020</a>)"
Approval status,Beijing/Sinopharm BBIBP-CorV,"Full or emergency use in numerous countries, including China, UAE, Bahrain, Egypt, and Hungary"
,,
Developer(s),Cansino Ad5-nCoV,"CanSino Biological Inc, Beijing Institute of Biotechnology"
Platform,Cansino Ad5-nCoV,Non-replicating viral vector
Dosing,Cansino Ad5-nCoV,"1 dose, intramuscular"
Description,Cansino Ad5-nCoV,Ad5 vector containing full-length spike (S) protein
Published results,Cansino Ad5-nCoV,"Phase I, phase II - see <b>Living review</b>"
Efficacy data,Cansino Ad5-nCoV,Pending
Storage requirements,Cansino Ad5-nCoV,Pending - refrigeration (2°C to 8°C) or freezing (-15°C to -25°C) is typical for vectored vaccines
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Cansino Ad5-nCoV,No score available
Manufacture projections,Cansino Ad5-nCoV,Pending
Approval status,Cansino Ad5-nCoV,"Full or emergency use in China, Mexico, and Pakistan"
,,
Developer(s),Chumakov Center CoviVac,"Chumakov Center, Russian Academy of Sciences"
Platform,Chumakov Center CoviVac,Inactivated
Dosing,Chumakov Center CoviVac,"2 doses, intramuscular"
Description,Chumakov Center CoviVac,Inactivated whole-virion vaccine
Published results,Chumakov Center CoviVac,None
Efficacy data,Chumakov Center CoviVac,Pending
Storage requirements,Chumakov Center CoviVac,Pending - refrigeration (2°C to 8°C) is typical for inactivated vaccines
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Chumakov Center CoviVac,No score available
Manufacture projections,Chumakov Center CoviVac,"Up to 20 million doses in 2021 (<a href=""https://www.rferl.org/a/russia-coronavirus-vaccine-covivac/31113697.html"" target=""_blank"">21 Feb 2021</a>) "
Approval status,Chumakov Center CoviVac,Early use in Russia
,,
Developer(s),Gamaleya Gam-COVID-Vac/Sputnik V,Gamaleya Research Institute
Platform,Gamaleya Gam-COVID-Vac/Sputnik V,Non-replicating viral vector
Dosing,Gamaleya Gam-COVID-Vac/Sputnik V,"2 doses, intramuscular"
Description,Gamaleya Gam-COVID-Vac/Sputnik V,Recombinant Ad26 (prime) and recombinant Ad5 (boost) viruses expressing full-length spike (S) protein
Published results,Gamaleya Gam-COVID-Vac/Sputnik V,Phase I/II - see <b>Living review</b>
Efficacy data,Gamaleya Gam-COVID-Vac/Sputnik V,Vaccine efficacy against COVID-19 of 92% based on primary efficacy analysis of 78 confirmed cases - see <b>Living review</b>
Storage requirements,Gamaleya Gam-COVID-Vac/Sputnik V,Being produced in lyophilised formulation requiring refrigeration (2°C to 8°C) or frozen formulation (maximum -18°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Gamaleya Gam-COVID-Vac/Sputnik V,Sputnik V given score of 2 out of 20
Manufacture projections,Gamaleya Gam-COVID-Vac/Sputnik V,"Up to 1.4 billion doses in 2021 according to BMJ report (<a href=""https://www.bmj.com/content/372/bmj.n743"" target=""_blank"">19 Mar 2021</a>) "
Approval status,Gamaleya Gam-COVID-Vac/Sputnik V,"Early or emergency use in numerous countries, including Russia, Belarus, Argentina, Serbia, and Algeria"
,,
Developer(s),Janssen Ad26.COV2.S,Janssen Pharmaceutical Companies
Platform,Janssen Ad26.COV2.S,Non-replicating viral vector
Dosing,Janssen Ad26.COV2.S,"1 or 2 doses (to be determined), intramuscular"
Description,Janssen Ad26.COV2.S,Ad26 vector expressing stabilised pre-fusion spike (S) protein
Published results,Janssen Ad26.COV2.S,Phase I/II - see <b>Living review</b>
Efficacy data,Janssen Ad26.COV2.S,"Vaccine efficacy against COVID-19 of 67% after single dose based on primary efficacy analysis of 464 confirmed cases (<a href=""https://www.nejm.org/doi/full/10.1056/NEJMoa2101544"" target=""_blank"">21 Apr 2021</a>) "
Storage requirements,Janssen Ad26.COV2.S,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Janssen Ad26.COV2.S,Johnson & Johnson given score of 9 out of 20
Manufacture projections,Janssen Ad26.COV2.S,"1 billion doses per year as of 2021 (<a href=""https://www.jnj.com/innovation/questions-about-johnson-johnson-investigational-covid-19-vaccine"" target=""_blank"">05 Jan 2021</a>) "
Approval status,Janssen Ad26.COV2.S,"Early or emergency use in South Africa, Bahrain, and USA"
,,
Developer(s),Moderna mRNA-1273,"Moderna, NIAID"
Platform,Moderna mRNA-1273,RNA
Dosing,Moderna mRNA-1273,"2 doses, intramuscular"
Description,Moderna mRNA-1273,Lipid nanoparticle-encapsulated mRNA encoding pre-fusion spike (S) protein
Published results,Moderna mRNA-1273,"Phase I, phase III - see <b>Living review</b>"
Efficacy data,Moderna mRNA-1273,Vaccine efficacy against COVID-19 of 94% based on primary efficacy analysis of 196 confirmed cases - see <b>Living review</b>
Storage requirements,Moderna mRNA-1273,Refrigeration (2°C to 8°C) for up to 30 days or frozen (-15°C to -25°C) for long-term storage
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Moderna mRNA-1273,Moderna given score of 2 out of 20
Manufacture projections,Moderna mRNA-1273,"Up to 1 billion doses in 2021 and 1.4 billion doses in 2022 (<a href=""https://investors.modernatx.com/news-releases/news-release-details/moderna-announces-additional-capital-investments-increase-global"" target=""_blank"">24 Feb 2021</a>) "
Approval status,Moderna mRNA-1273,"Full or emergency use in numerous countries, including USA, Canada, EU, UK, and Israel"
,,
Developer(s),Oxford/AstraZeneca ChAdOx1-S,"University of Oxford, AstraZeneca"
Platform,Oxford/AstraZeneca ChAdOx1-S,Non-replicating viral vector
Dosing,Oxford/AstraZeneca ChAdOx1-S,"2 doses, intramuscular"
Description,Oxford/AstraZeneca ChAdOx1-S,Simian adenovirus vector containing codon-optimised spike (S) protein
Published results,Oxford/AstraZeneca ChAdOx1-S,"Phase I/II, phase II, phase III - see <b>Living review</b>"
Efficacy data,Oxford/AstraZeneca ChAdOx1-S,Vaccine efficacy against COVID-19 reported to be 62–90% based on interim data from 131 cases - see <b>Living review</b>
Storage requirements,Oxford/AstraZeneca ChAdOx1-S,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Oxford/AstraZeneca ChAdOx1-S,AstraZeneca given score of 7 out of 20
Manufacture projections,Oxford/AstraZeneca ChAdOx1-S,"3 billion doses in 2021 (<a href=""https://www.astrazeneca.com/what-science-can-do/topics/technologies/pushing-boundaries-to-deliver-covid-19-vaccine-accross-the-globe.html"" target=""_blank"">25 Mar 2021</a>)"
Approval status,Oxford/AstraZeneca ChAdOx1-S,"Emergency use in numerous countries, including UK, EU, India, Argentina, Dominican Republic, and El Salvador"
,,
Developer(s),Research Institute for Biological Safety Problems QazCovid-in,"Research Institute for Biological Safety Problems, Kazakhstan"
Platform,Research Institute for Biological Safety Problems QazCovid-in,Inactivated
Dosing,Research Institute for Biological Safety Problems QazCovid-in,"2 doses, intramuscular"
Description,Research Institute for Biological Safety Problems QazCovid-in,Inactivated vaccine adiministered with aluminium hydroxide adjuvant
Published results,Research Institute for Biological Safety Problems QazCovid-in,None
Efficacy data,Research Institute for Biological Safety Problems QazCovid-in,Pending
Storage requirements,Research Institute for Biological Safety Problems QazCovid-in,Pending - refrigeration (2°C to 8°C) is typical for inactivated vaccines
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Research Institute for Biological Safety Problems QazCovid-in,No score available
Manufacture projections,Research Institute for Biological Safety Problems QazCovid-in,Pending
Approval status,Research Institute for Biological Safety Problems QazCovid-in,Early use in Kazakhstan
,,
Developer(s),Sinovac CoronaVac,Sinovac
Platform,Sinovac CoronaVac,Inactivated
Dosing,Sinovac CoronaVac,"2 doses, intramuscular"
Description,Sinovac CoronaVac,Inactivated vaccine adiministered 
Published results,Sinovac CoronaVac,Phase I/II - see <b>Living review</b>
Efficacy data,Sinovac CoronaVac,"Vaccine efficacy against COVID-19 reported to be 50% in a press release on <a href=""http://www.sinovac.com/?optionid=754&auto_id=927"" target=""_blank"">03 Apr 2021</a>); estimates based on 85 confirmed cases from phase III trial in Brazil; in Turkey, vaccine efficacy was reported to be 91% but no furter details are currently available"
Storage requirements,Sinovac CoronaVac,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Sinovac CoronaVac,No score available
Manufacture projections,Sinovac CoronaVac,"Up to 2 billion doses per year (<a href=""https://www.reuters.com/world/china/china-sinovac-says-it-reached-2-bln-doses-annual-capacity-covid-19-vaccine-2021-04-02/"" target=""_blank"">02 Apr 2021</a>) "
Approval status,Sinovac CoronaVac,"Full or emergency use in numerous countries, including China, Azerbaijan, Brazil, Chile, and Colombia"
,,
Developer(s),Vector Institute EpiVacCorona,Vector Institute
Platform,Vector Institute EpiVacCorona,Protein subunit
Dosing,Vector Institute EpiVacCorona,"2 doses, intramuscular"
Description,Vector Institute EpiVacCorona,Peptide antigens conjugated to a carrier protein and administered with aluminum hydroxide
Published results,Vector Institute EpiVacCorona,None
Efficacy data,Vector Institute EpiVacCorona,Pending
Storage requirements,Vector Institute EpiVacCorona,Pending - refrigeration (2°C to 8°C) is typical for protein subunit vaccines
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Vector Institute EpiVacCorona,No score available
Manufacture projections,Vector Institute EpiVacCorona,"5 million doses per year (<a href=""https://www.reuters.com/article/us-health-coronavirus-russia-cases-idUSKBN2870MO"" target=""_blank"">27 Nov 2020</a>) "
Approval status,Vector Institute EpiVacCorona,Early use in Russia
,,
Developer(s),Wuhan/Sinopharm vaccine,"Wuhan Institute of Biological Products, Sinopharm"
Platform,Wuhan/Sinopharm vaccine,Inactivated
Dosing,Wuhan/Sinopharm vaccine,"2 doses, intramuscular"
Description,Wuhan/Sinopharm vaccine,Inactivated vaccine adsorbed to 0.5-mg alum
Published results,Wuhan/Sinopharm vaccine,Phase I/II - see <b>Living review</b>
Efficacy data,Wuhan/Sinopharm vaccine,Pending
Storage requirements,Wuhan/Sinopharm vaccine,Refrigeration (2°C to 8°C)
"<a href=""https://www.one.org/international/vaccine-access-test/"" target=""_blank"">ONE Vaccine Access Test score</a>",Wuhan/Sinopharm vaccine,No score available
Manufacture projections,Wuhan/Sinopharm vaccine,"Up to 600 million doses per year (<a href=""https://www.globaltimes.cn/page/202101/1212482.shtml"" target=""_blank"">11 Jan 2021</a>) "
Approval status,Wuhan/Sinopharm vaccine,Limited use in China and UAE
