,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible,new
13,4381,Identifying common pharmacotherapies associated with reduced COVID-19 morbidity using electronic health records,"ObjectiveAbsent a vaccine or any established treatments for the novel and highly infectious coronavirus-19 (COVID-19), rapid efforts to identify potential therapeutics are required. We sought to identify commonly prescribed medications that may be associated with lesser risk of morbidity with COVID-19 across 6 Eastern Massachusetts hospitals.

DesignIn silico cohort using electronic health records from individuals evaluated in the emergency department between March 4, 2020 and July 12, 2020.

SettingEmergency department and inpatient settings from 2 academic medical centers and 4 community hospitals.

ParticipantsAll individuals presenting to an emergency department and undergoing COVID-19 testing.

Main Outcome or MeasureInpatient hospitalization; documented requirement for mechanical ventilation.

ResultsAmong 7,360 individuals with COVID-19 positive test results by PCR, 3,693 (50.2%) were hospitalized in one of 6 hospitals. In models adjusted for sociodemographic features and overall burden of medical illness, medications significantly associated with diminished risk for hospitalization included ibuprofen and sumatriptan. Among individuals who were hospitalized, 962(26.0%) were admitted to the intensive care unit and 608 (16.5%) died; ibuprofen and naproxen were also more commonly prescribed among individuals not requiring intensive care.

ConclusionsThese preliminary findings suggest that electronic health records may be applied to identify medications associated with lower risk of morbidity with COVID-19, but larger cohorts will be required to address the substantial problem of confounding by indication, such that extreme caution is warranted in interpreting nonrandomized results.

Trial RegistrationNone

Summary BoxesO_ST_ABSSection 1: What is already known on this topicC_ST_ABSAbsent a vaccine or any established treatments for the novel and highly infectious coronavirus-19 (COVID-19), rapid efforts to identify potential therapeutics are required.

Section 2: What this study addsThis cohort study across 6 hospitals identified medications enriched among individuals positive for COVID-19 who are less likely to experience adverse outcomes including hospitalization, intensive care, or death.",28/08/2020,10.1101/2020.04.11.20061994,Roy H Perlis,Massachusetts General Hospital,medrxiv,0,0
14,4584,Epidemic Landscape and Forecasting of SARS-CoV-2 in India,"BACKGROUNDIndia was one of the countries to institute strict measures for SARS-CoV-2 control in early phase. Since, then, the epidemic growth trajectory was slow before registering an explosion of cases due to local cluster transmissions.

METHODSWe estimated growth rate and doubling time of SARS-CoV-2 for India and high burden states using crowd sourced time series data. Further, we also estimated Basic Reproductive Number (R0) and time dependent reproductive number (Rt) using serial intervals from the data. We compared the R0 estimated from five different methods and R0 from SB was further used in analysis. We modified standard SIR models to SIRD model to accommodate deaths using R0 with the Sequential Bayesian method (SBM) for simulation in SIRD models.

RESULTSOn an average, 2.8 individuals were infected by an index case. The mean serial interval was 3.9 days. The R0 estimated from different methods ranged from 1.43 to 1.85. The mean time to recovery was 14 {+/-} 5.3 days. Daily epidemic growth rate of India was 0.16 [95%CI; 0.14, 0.17] with a doubling time of 4.30 days [95%CI; 3.96, 4.70]. From the SIRD model, it can be deduced that the peak of SARS-CoV-2 in India will be around mid-July to early August 2020 with around 12.5% of population likely to be infected at the peak time.

CONCLUSIONSThe pattern of spread of SARS-CoV-2 in India is suggestive of community transmission. There is a need to increase fund for infectious disease research and epidemiologic studies. All the current gains may be reversed rapidly if air travel and social mixing resumes rapidly. For the time being, these must be resumed only in a phased manner, and should be back to normal levels only after we are prepared to deal with the disease with efficient tools like vaccine or a medicine.",17/04/2020,10.1101/2020.04.14.20065151,Muhammed Shaffi Fazaludeen Koya,"School of Public Health, Boston University, MA, USA",medrxiv,0,0
15,4757,"Epidemiological and Genomic Analysis of SARS-CoV-2 in Ten Patients from a Mid-sized City outside of Hubei, China in the Early Phase of the COVID-19 Outbreak","A novel coronavirus known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the cause of the ongoing COVID-19 pandemic. In this study, we performed a comprehensive epidemiological and genomic analysis of SARS-CoV-2 genomes from ten patients in Shaoxing, a mid-sized city outside of the epicenter Hubei province, China, during the early stage of the outbreak (late January to early February, 2020). We obtained viral genomes with > 99% coverage and a mean depth of 296X demonstrating that viral genomic analysis is feasible via metagenomics sequencing directly on nasopharyngeal samples with SARS-CoV-2 Real-time PCR Ct values less than 28. We found that a cluster of 4 patients with travel history to Hubei shared the exact same virus with patients from Wuhan, Taiwan, Belgium and Australia, highlighting how quickly this virus spread to the globe. The virus from another cluster of two family members living together without travel history but with a sick contact of a confirmed case from another city outside of Hubei accumulated significantly more mutations (9 SNPs vs average 4 SNPs), suggesting a complex and dynamic nature of this outbreak. We also found 70% patients in this study had the S genotype, consistent with an early study showing a higher prevalence of genotype out of Hubei than that inside Hubei. We calculated an average mutation rate of 1.37x10-3 nucleotide substitution per site per year, which is similar to that of other coronaviruses. Our findings add to the growing knowledge of the epidemiological and genomic characteristics of SARS-CoV-2 that are important for guiding outbreak containment and vaccine development. The moderate mutation rate of this virus also lends hope that development of an effective, long-lasting vaccine may be possible.",02/06/2020,10.1101/2020.04.16.20058560,Shangxin Yang,UCLA Health System,medrxiv,0,0
16,4839,Review of Current Evidence of Hydroxychloroquine in Pharmacotherapy of COVID-19,"ImportanceThe COVID-19 Pandemic has literally left the world breathless in the chase for pharmacotherapy. With vaccine and novel drug development in early clinical trials, repurposing of existing drugs takes the center stage.

ObjectiveA potential drug discussed in global scientific community is hydroxychloroquine. We intend to systematically explore, analyze, rate the existing evidence of hydroxychloroquine in the light of published, unpublished and clinical trial data.

Evidence reviewPubMed Ovid MEDLINE, EMBASE, Google scholar databases, pre-proof article repositories, clinical trial registries were comprehensively searched with focused question of use of hydroxychloroquine in COVID-19 patients. The literature was systematically explored as per PRISMA guidelines.

FindingsTotal 156 articles were available as of 7th May 2020; of which 11 articles of relevance were analyzed. Three in-vitro studies were reviewed. Two open label non-randomized trials, two open label randomized control trials, one large observational study, one follow-up study and two retrospective cohort studies were systematically analyzed and rated by oxford CEBM and GRADE framework for quality and strength of evidence. Also 27 clinical trials registered in three clinical trial registries were analyzed and summarized. Hydroxychloroquine seems to be efficient in inhibiting SARS-CoV-2 in in-vitro cell lines. However, there is lack of strong evidence from human studies. It was found that overall quality of available evidence ranges from  very low to  low.

Conclusions and relevanceThe in-vitro cell culture based data of viral inhibition does not suffice for the use of hydroxychloroquine in the patients with COVID-19. Current literature shows inadequate, low level evidence in human studies. Scarcity of safety and efficacy data warrants medical communities, health care agencies and governments across the world against the widespread use of hydroxychloroquine in COVID-19 prophylaxis and treatment, until robust evidence becomes available.

KEY POINTSO_ST_ABSQuestionC_ST_ABSWhat is the current evidence for use of Hydroxychloroquine in pharmacotherapy of COVID-19?

FindingsWe electronically explored various databases and clinical trial registries and identified 11 publications and 27 clinical trials with active recruitment. The in-vitro study data demonstrates the viral inhibition by hydroxychloroquine. The clinical studies are weakly designed and conducted with insufficient reporting and significant limitations. Well designed robust clinical trials are being conducted all over the world and results of few such robust studies are expected shortly.

MeaningCurrent evidence stands inadequate to support the use of hydroxychloroquine in pharmacotherapy of COVID-19.",13/05/2020,10.1101/2020.04.16.20068205,Umesh Devappa Suranagi,Lady Hardinge Medical College,medrxiv,0,0
17,4944,Self-burnout - a new path to the end of COVID-19,"In this work we use mathematical modeling to describe a possible route to the end of COVID-19, which does not feature either vaccination or herd immunity. We call this route self-burnout. We consider a region with (a) no influx of corona cases from the outside, (b) extensive social distancing, though not necessarily a full lockdown, and (c) high testing capacity relative to the actual number of new cases per day. These conditions can make it possible for the region to initiate the endgame phase of epidemic management, wherein the disease is slowly made to burn itself out through a combination of social distancing, sanitization, contact tracing and preventive testing. The dynamics of the case trajectories in this regime are governed by a single-variable first order linear delay differential equation, whose stability criterion can be obtained analytically. Basis this criterion, we conclude that the social mobility restrictions should be such as to ensure that on the average, one person interacts closely (from the transmission viewpoint) with at most one other person over a 4-5 day period. If the endgame can be played out for a long enough time, we claim that the Coronavirus can eventually get completely contained without affecting a significant fraction of the regions population. We present estimates of the duration for which the epidemic is expected to last, finding an interval of approximately 5-15 weeks after the self-burnout phase is initiated. South Korea, Austria, Australia, New Zealand and the states of Goa, Kerala and Odisha in India appear to be well on the way towards containing COVID by this method.",28/04/2020,10.1101/2020.04.17.20069443,B Shayak,Cornell University,medrxiv,0,0
18,5101,Immune defects and cardiovascular risk in X chromosome monosomy mosaicism mediated by loss of chromosome Y. A risk factor for SARS-CoV-2 vulnerability in elderly men?,"The ongoing pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2, COVID-19) has an estimated overall case fatality ratio of 1.38% in China, being 53% higher in males and increasing exponentially with age. Mosaicism for X chromosome monosomy (XCM) shows a similar increase in aging population mostly driven by loss of chromosome Y in males (LOY), and is associated with a raise in all-cause mortality. Using comparative transcriptomic data, we have defined that XCM/LOY is associated with abnormal peripheral blood cell counts with decreased progenitor cells and multiple biomarkers of immune system dysfunction, pro-coagulation activity and increased cardiovascular risk. Several differentially down-regulated genes in XCM/LOY individuals are involved in the initial immune response to SARS-CoV-2 (OR of enrichment=7.23, p=1.5x10-7), mainly interferon-induced genes that code for inhibitors of viral processes. Thus, our data suggest that XCM mosaicism underlies at least part of the sex-biased severity and mortality of COVID-19 in aging patients. Given its potential relevance for modulating prognosis and therapeutic response, we propose that evaluation of LOY and XCM by currently established methods should be implemented as biomarkers in infected patients, including currently ongoing clinical trials with different medications and vaccines for COVID-19. Testing for LOY/XCM at large scale among elderly people may also be helpful to identify still unexposed people who may be especially vulnerable to severe Covid-19 disease.",24/04/2020,10.1101/2020.04.19.20071357,Juan R Gonzalez,Barcelona Institute for Global Health,medrxiv,0,0
19,5047,"Evidence-Based, Cost-Effective Interventions To Suppress The COVID-19 Pandemic: A Systematic Review","BackgroundIn an unparalleled global response, during the COVID-19 pandemic, 90 countries asked 3.9 billion people to stay home. Yet some countries avoided lockdowns and focused on other strategies, like contact tracing and case isolation. How effective and cost-effective are these strategies? We aimed to provide a comprehensive summary of the evidence on pandemic control, with a focus on cost-effectiveness.

MethodsFollowing PRISMA systematic review guidelines, MEDLINE (1946 to April week 2, 2020) and Embase (1974 to April 17, 2020) were searched using a range of terms related to pandemic control. Articles reporting on the effectiveness or cost-effectiveness of at least one intervention were included and grouped into higher-quality evidence (randomized trials) and lower-quality evidence (other study designs).

ResultsWe found 1,653 papers; 62 were included. Higher-quality evidence was only available to support the effectiveness of hand washing and face masks. Modelling studies indicated that these measures are highly cost-effective. For other interventions, lower-quality evidence suggested that: (1) the most cost-effective interventions are swift contact tracing and case isolation, surveillance networks, protective equipment for healthcare workers, and early vaccination (when available); (2) home quarantines and stockpiling antivirals are less cost-effective; (3) social distancing measures like workplace and school closures are effective but costly, making them the least cost-effective options; (4) combinations are more cost-effective than single interventions; (5) interventions are more cost-effective when adopted early and for severe viruses like SARS-CoV-2. For H1N1 influenza, contact tracing was estimated to be 4,363 times more cost-effective than school closures ($2,260 vs. $9,860,000 per death prevented).

ConclusionsA cautious interpretation of the evidence suggests that for COVID-19: (1) social distancing is effective but costly, especially when adopted late and (2) adopting as early as possible a combination of interventions that includes hand washing, face masks, ample protective equipment for healthcare workers, and swift contact tracing and case isolation is likely to be the most cost-effective strategy.

FundingLP holds the Canada Research Chair in Community Approaches and Health Inequalities (CRC 950232541). This funding source had no role in the design, conduct, or reporting of the study.",15/06/2020,10.1101/2020.04.20.20054726,Carl-Etienne Juneau,University of Montreal,medrxiv,0,0
20,5284,Long period dynamics of viral load and antibodies for SARS-CoV-2 infection: an observational cohort study,"OBJECTIVETo investigate the dynamics of viral RNA, IgM, and IgG and their relationships in patients with SARS-CoV-2 pneumonia over an 8-week period.

DESIGNRetrospective, observational case series.

SETTINGWenzhou Sixth Peoples Hospital

PARTICIPANTSThirty-three patients with laboratory confirmed SARS-CoV-2 pneumonia admitted to hospital. Data were collected from January 27 to April 10, 2020.

MAIN OUTCOME MEASURESThroat swabs, sputum, stool, and blood samples were collected, and viral load was measured by reverse transcription PCR (RT-PCR). Specific IgM and IgG against spike protein (S), spike protein receptor binding domain (RBD), and nucleocapsid (N) were analyzed.

RESULTSAt the early stages of symptom onset, SARS-CoV-2 viral load is higher in throat swabs and sputum, but lower in stool. The median (IQR) time of undetectable viral RNA in throat swab, sputum, and stool was 18.5 (13.25-22) days, 22 (18.5-27.5) days, and 17 (11.5-32) days, respectively. In sputum, 17 patients (51.5%) had undetectable viral RNA within 22 days (short persistence), and 16 (48.5%) had persistent viral RNA more than 22 days (long persistence). Three patients (9.1%) had a detectable relapse of viral RNA in sputum within two weeks of their discharge from the hospital. One patient had persistent viral RNA for 59 days or longer. The median (IQR) seroconversion time of anti-S IgM, anti-RBD IgM, and anti-N IgM was 10.5 (7.75-15.5) days, 14 (9-24) days, and 10 (7-14) days, respectively. The median (IQR) seroconversion time of anti-S IgG, anti-RBD IgG, and anti-N IgG was 10 (7.25-16.5) days, 13 (9-17) days, and 10 (7-14) days, respectively. By week 8 after symptom onset, IgM were negative in many of the previously positive patients, and IgG levels remained less than 50% of the peak levels in more than 20% of the patients. In about 40% of the patients, anti-RBD IgG levels were 4-times higher in convalescence than in acute phase. SARS-CoV-2 RNA coexisted with antibodies for more than 50 days. Anti-RBD IgM and IgG levels, including anti-RBD IgM levels at presentation and peak time, were significantly higher in viral RNA short persistence patients than in long persistence patients.

CONCLUSIONThis study adds important new information about the features of viral load and antibody dynamics of SARS-CoV-2. It is clear from these results that the viral RNA persists in sputum and stool specimens for a relatively long time in many patients. Anti-RBD may also serve as a potential protective antibody against SARS-CoV-2 infection, as viral persistence appears to be related to anti-RBD levels. Earlier treatment intervention also appears to be a factor in viral persistence.

WHAT IS ALREADY KNOWN ON THIS TOPICThere are several reports about the serum antibodies against SARS-CoV-2. However, most of them evaluate diagnostic accuracy. Only two articles report dynamics of SARS-CoV-2 viral RNA and antibodies with serial samples, but the observation periods are within 30 days. None of the studies investigate the profiles of SARS-CoV-2 viral load and antibodies in a long period. Three reports investigate profiles in respiratory samples, but there are no reports on the dynamics of the viral load in stool samples.

WHAT THIS STUDY ADDSIn both sputum and stool, SARS-CoV-2 RNA persists for a long time. The anti-RBD antibodies may involve in the clearance of SARS-CoV-2 infection. After eight weeks from symptom onset, IgM were negative in many of the previously positive patients, and IgG levels remained less than 50% of the peak levels in more than 20% of the patients. In about 40% of the patients, anti-RBD IgG levels increased 4-time higher in convalescence than in acute phase. Long persistence of SARS-CoV-2 viral RNA in sputum and stool presents challenges for management of the infection. The IgM/IgG comb test is better than single IgM test as a supplement diagnostic tool. Anti-RBD may be a protective antibody, and is valuable for development of vaccines.",27/04/2020,10.1101/2020.04.22.20071258,Shaohua Tang,"Dingli Clinical Medical School of Wenzhou Medical University, Wenzhou Central Hospital",medrxiv,0,0
21,5324,Intention to participate in a COVID-19 vaccine clinical trial and to get vaccinated against COVID-19 in France during the pandemic,"BackgroundThe world is facing the COVID-19 pandemic. Development of vaccine is challenging.

AimTo determine the proportion of people who intend to get vaccinated against COVID-19 in France or to participate in a vaccine clinical trial.

MethodsWe conducted an anonymous on-line survey from the 26th of March to the 20th of April 2020. Primary endpoints were the intention to get vaccinated against COVID-19 if a vaccine was available or participate in a vaccine clinical trial.

ResultsThree thousand two hundred and fifty nine individuals answered the survey; women accounted for 67.4 % of the responders, 670 (20.6 %) were under 30 years of age, 1,502 (46.1 %) between 30-49 years, 803 (24.6 %) between 50-64 years, 271 (8.3%) between 65-80 years, 13 (0.4%) over 80 years of age. According to their statements, 2.512 participants (77.6%, 95 % CI 76.2-79 %) will certainly or probably agree to get vaccinated against COVID-19. Older age, male gender, fear about COVID-19, being healthcare workers and individual perceived risk were associated with COVID-19 vaccine acceptance Vaccine hesitancy was associated with a decrease in COVID-19 vaccine acceptance. One thousand and five hundred and fifty responders (47.6 % 95 % CI 45.9-49.3 %) will certainly or probably agree to participate in a COVID-19 vaccine clinical trial.

Conclusions and RelevanceNearly 75 % and 48 % of the survey responders were likely to accept vaccination or participation in a clinical trial against COVID-19. Vaccine hesitancy will be the major barrier to COVID-19 vaccine uptake.",27/04/2020,10.1101/2020.04.23.20076513,Amandine Gagneux-Brunon,CHU de Saint-Etienne,medrxiv,0,0
22,5583,Custommune: a web tool to design personalized and population-targeted vaccine epitopes,"Computational prediction of immunogenic epitopes is a promising platform for therapeutic and preventive vaccine design. A potential target for this strategy is human immunodeficiency virus (HIV-1), for which, despite decades of efforts, no vaccine is available. In particular, a therapeutic vaccine devised to eliminate infected cells would represent a key component of cure strategies. HIV peptides designed based on individual viro-immunological data from people living with HIV/AIDS have recently shown able to induce post-therapy viral set point abatement. However, the reproducibility and scalability of this method is curtailed by the errors and arbitrariness associated with manual peptide design as well as by the time-consuming process.

We herein introduce Custommune, a user-friendly web tool to design personalized and population-targeted vaccines. When applied to HIV-1, Custommune predicted personalized epitopes using patient specific Human Leukocyte Antigen (HLA) alleles and viral sequences, as well as the expected HLA-peptide binding strength and potential immune escape mutations. Of note, Custommune predictions compared favorably with manually designed peptides administered in a recent phase II clinical trial (NCT02961829).

Furthermore, we utilized Custommune to design preventive vaccines targeted for populations highly affected by COVID-19. The results allowed the identification of peptides tailored for each population and predicted to elicit both CD8+ T-cell immunity and neutralizing antibodies against structurally conserved epitopes of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).

Overall, our data describe a new tool for rapid development of personalized or population-based immunotherapy against chronic and acute viral infections.",29/04/2020,10.1101/2020.04.25.20079426,Andrea Savarino,"Department of Infectious Diseases, Italian Institute of Health, Rome, Italy",medrxiv,0,0
23,5645,Population-scale testing can suppress the spread of COVID-19,"We propose an additional intervention that would contribute to the control of the COVID-19 pandemic, offer more protection for people working in essential jobs, and help guide an eventual reopening of society. The intervention is based on: (1) testing every individual (2) repeatedly, and (3) self-quarantine of infected individuals. Using a standard epidemiological model (SIR), we show here that by identification and isolation of the majority of infectious individuals, including those who may be asymptomatic, the reproduction number R0 of SARS-CoV-2 would be reduced well below 1.0, and the epidemic would collapse. We replicate these observations in a more complex stochastic dynamic model on a social network graph. We also find that the testing regime would be additive to other interventions, and be effective at any level of prevalence. If adopted as a policy, any industrial society could sustain the regime for as long as it takes to find a safe and effective cure or vaccine. Our model also indicates that unlike sampling-based tests, population-scale testing does not need to be very accurate: false negative rates up to 15% could be tolerated if 80% comply with testing every ten days, and false positives can be almost arbitrarily high when a high fraction of the population is already effectively quarantined. Testing at the required scale would be feasible if existing qPCR-based methods are scaled up and multiplexed. A mass produced, low throughput field test kit could also be carried out at home. Economic analysis also supports the feasibility of the approach: current reagent costs for tests are in the range of a dollar or less, and the estimated benefits for population-scale testing are so large that the policy would be cost-effective even if the costs were larger by more than two orders of magnitude. To identify both active and previous infections, both viral RNA and antibodies could be tested. All technologies to build such test kits, and to produce them in the scale required to test the entire worlds population exist already. Integrating them, scaling up production, and implementing the testing regime will require resources and planning, but at a scale that is very small compared to the effort that every nation would devote to defending itself against a more traditional foe.",28/05/2020,10.1101/2020.04.27.20078329,Sten Linnarsson,Karolinska Institutet,medrxiv,0,0
24,6549,BCG Vaccine Protection from Severe Coronavirus Disease 2019 (COVID19),"A series of epidemiological explorations has suggested a negative association between national BCG vaccination policy and the prevalence and mortality of COVID-19. However, these comparisons are difficult to validate due to broad differences between countries such as socioeconomic status, demographic structure, rural vs. urban settings, time of arrival of the pandemic, number of diagnostic tests and criteria for testing, and national control strategies to limit the spread of COVID-19. We review evidence for a potential biological basis of BCG cross-protection from severe COVID-19, and refine the epidemiological analysis to mitigate effects of potentially confounding factors (e.g., stage of the COVID-19 epidemic, development, rurality, population density, and age structure). A strong correlation between the BCG index, an estimation of the degree of universal BCG vaccination deployment in a country, and COVID-19 mortality in different socially similar European countries was observed (r2 = 0.88; p = 8x10-7), indicating that every 10% increase in the BCG index was associated with a 10.4% reduction in COVID-19 mortality. Results fail to confirm the null hypothesis of no-association between BCG vaccination and COVID-19 mortality, and suggest that BCG could have a protective effect. Nevertheless, the analyses are restricted to coarse-scale signals and should be considered with caution. BCG vaccination clinical trials are required to corroborate the patterns detected here, and to establish causality between BCG vaccination and protection from severe COVID-19. Public health implications of a plausible BCG cross-protection from severe COVID-19 are discussed.

Significance StatementThe COVID-19 pandemic is one of the most devastating in recent history. The bacillus Calmette-Guerin (BCG) vaccine against tuberculosis also confers broad protection against other infectious diseases, and it has been proposed that it could reduce the severity of COVID-19. This epidemiological study assessed the global linkage between BCG vaccination and COVID-19 mortality. Signals of BCG vaccination effect on COVID-19 mortality are influenced by social, economic, and demographic differences between countries. After mitigating multiple confounding factors, several significant associations between BCG vaccination and reduced COVID-19 deaths were observed. This study highlights the need for mechanistic studies behind the effect of BCG vaccination on COVID-19, and for clinical evaluation of the effectiveness of BCG vaccination to protect from severe COVID-19.",14/06/2020,10.1101/2020.05.05.20091975,Carolina Barillas-Mury,National Institutes of Health,medrxiv,0,0
25,6535,ProgNet: Covid-19 prognosis using recurrent andconvolutional neural networks,"--Humanity is facing nowadays a dramatic pandemic episode with the Coronavirus propagation over all continents. The Covid-19 disease is still not well characterized, and many research teams all over the world are working on either therapeutic or vaccination issues. Massive testing is one of the main recommendations. In addition to laboratory tests, imagery-based tools are being widely investigated. Artificial intelligence is therefore contributing to the efforts made to face this pandemic phase.

Regarding patients in hospitals, it is important to monitor the evolution of lung pathologies due to the virus. A prognosis is therefore of great interest for doctors to adapt their care strategy. In this paper, we propose a method for Covid-19 prognosis based on deep learning architectures. The proposed method is based on the combination of a convolutional and recurrent neural networks to classify multi-temporal chest X-ray images and predict the evolution of the observed lung pathology. When applied to radiological time-series, promising results are obtained with an accuracy rates higher than 92%.",08/05/2020,10.1101/2020.05.06.20092874,Lotfi Chaari,Institut National Polytechnique de Toulouse,medrxiv,0,0
26,6633,"Treatments administered to the first 9,152 reported cases of COVID19: a systematic review","The emergence of SARS-CoV-2/2019 novel coronavirus (COVID19) has created a global pandemic with no approved treatments or vaccines. Many treatments have already been administered to COVID19 patients but have not been systematically evaluated. We performed a systematic literature review to identify all treatments reported to be administered to COVID19 patients and assess time to clinically meaningful response for treatments with sufficient data. We searched PubMed, BioRxiv, MedRxiv, and ChinaXiv for articles reporting treatments for COVID19 patients published between 12/1/2019-3/27/2020. Data were analyzed descriptively. Of the 2,706 articles identified, 155 studies met inclusion criteria, comprising 9,152 patients from 14 different countries. The cohort was 45.4% female and 98.3% hospitalized and mean (SD) age was 44.4 years (SD 21.0). The most frequently administered drug classes were antivirals, antibiotics, and corticosteroids, and of the 115 reported drugs, the most frequently administered was combination lopinavir/ritonavir, which was associated with a time to clinically-meaningful response (complete symptom resolution or hospital discharge) of 11.7 (1.09) days. There was insufficient data to compare across treatments. A large number of treatments have been administered to the first 9,152 reported cases of COVID19. These data serve as the basis for an open-source registry of all reported treatments given to COVID19 patients. Further work is needed to prioritize drugs for investigation in well-controlled clinical trials and treatment protocols.",11/05/2020,10.1101/2020.05.07.20073981,David C Fajgenbaum,University of Pennsylvania Perelman School of Medicine,medrxiv,0,0
27,6750,DOUBLE POWER LAW FOR COVID-19: PREDICTION OF NEW CASES AND DEATH RATES IN ITALY AND SPAIN,"1.The novel corona virus SARS-CoV-2 appeared at the end of 2019, spreading rapidly and causing a severe respiratory syndrome (COVID-19) with high mortality (2-5%). Until a vaccine or therapy is found, the most effective method of prophylaxis has been to minimize transmission via rigorous social distancing and seclusion of all but essential workers. Such measures, implemented at different times and to varying degrees world-wide, have reduced the rate of transmission compared with early phases of the pandemic, resulting in ""flattening of the curve"" followed by a gradual reduction in mortality after >6 weeks of rigorous social distancing measures. The cost of rigorous social distancing has been seen in radically reduced economic activity, job losses, disruption of schooling and social institutions. A key question facing policy makers and individuals is when to resume normal economic and social activity in the face of persistent community transmission of SARS-CoV-2. To help address this question, we have developed a model that accurately describes the entire transmission and mortality curves in Italy and Spain, two hard-hit countries that have maintained severe social distancing measures for over 2 months. Our model quantitatively describes the rapid rise and slow decay of new cases and deaths observed under stringent social distancing (the ""long tail"" effect). We predict that even when social distancing is rigorously maintained, the number of COVID-19 deaths after peak mortality may be 2 - 3 times larger than the total number of deaths up to the peak. Our model has important policy implications for countries currently debating how to ease social distancing measures.",23/10/2020,10.1101/2020.05.07.20094714,Lev Z. Osherovich,Versant Ventures,medrxiv,0,0
28,6975,Health literacy of inland population in the mitigation phase 3.2. of COVID-19's pandemic in Portugal - a descriptive cohort study,"BackgroundCOVID-19 is a respiratory disease transmitted through respiratory droplets with a high transmission rate. Theres still no effective and approved antiretroviral treatment or vaccine, thus, preventive measures are the main key to contain this pandemic. Portugal is now in phase 3.2 of the mitigation of COVID-19, being imperative to understand the health literacy of our country and how to prevent the lack of information, through community empowerment.

Material and methodsA cross-sectional study with a cohort from a primary care facility was conducted. We collected demographic and epidemiological data and carried out a questionnaire by phone call. Descriptive statistics and nonparametric tests were used to assess associations between the independent variables and the level of health literacy. The level of significance was set at p<0.05.

ResultsOur cohort includes 222 subjects (median age: 62 years old), mostly females (131), undergraduate (193) and with at least one risk factor for COVID-19 (144). Globally, younger individuals, females, graduates and the Non-Risk Group appear to have higher levels of health literacy, with some exceptions to this pattern.

ConclusionsWe observe a well-informed population. However, being a pandemic situation, we intend to identify and correct outliers/misconceptions. This work allows a perspective of the current state/pattern of health literacy as well as its possible predictors. Furthermore, this study makes aware of how relevant the specific communication approaches are. Further studies to understand the predictors of health literacy are necessary.",14/05/2020,10.1101/2020.05.11.20098061,Joana Gomes Da Silva,Centro de Saude Mirandela II,medrxiv,0,0
29,7080,Country-level Determinants of the Severity of the First Global Wave of the COVID-19 Pandemic: An Ecological Study,"ObjectiveWe aimed to identify the country-level determinants of the severity of the first wave of the COVID-19 pandemic.

DesignAn ecological study design of publicly available data was employed. Countries reporting >25 COVID-related deaths until 08/06/2020 were included. The outcome was log mean mortality rate from COVID-19, an estimate of the country-level daily increase in reported deaths during the ascending phase of the epidemic curve. Potential determinants assessed were most recently published demographic parameters (population and population density, percentage population living in urban areas, median age, average body mass index, smoking prevalence), Economic parameters (Gross Domestic Product per capita); environmental parameters: pollution levels, mean temperature (January-May)), co-morbidities (prevalence of diabetes, hypertension and cancer), health system parameters (WHO Health Index and hospital beds per 10,000 population); international arrivals, the stringency index, as a measure of country-level response to COVID-19, BCG vaccination coverage, UV radiation exposure and testing capacity. Multivariable linear regression was used to analyse the data.

Primary OutcomeCountry-level mean mortality rate: the mean slope of the COVID-19 mortality curve during its ascending phase.

ParticipantsThirty-seven countries were included: Algeria, Argentina, Austria, Belgium, Brazil, Canada, Chile, Colombia, the Dominican Republic, Ecuador, Egypt, Finland, France, Germany, Hungary, India, Indonesia, Ireland, Italy, Japan, Mexico, the Netherlands, Peru, the Philippines, Poland, Portugal, Romania, the Russian Federation, Saudi Arabia, South Africa, Spain, Sweden, Switzerland, Turkey, Ukraine, the United Kingdom and the United States.

ResultsOf all country-level predictors included in the multivariable model, total number of international arrivals (beta 0.033 (95% Confidence Interval 0.012,0.054)) and BCG vaccination coverage (-0.018 (-0.034,-0.002)), were significantly associated with the mean death rate.

ConclusionsInternational travel was directly associated with the mortality slope and thus potentially the spread of COVID-19. Very early restrictions on international travel should be considered to control COVID outbreak and prevent related deaths.

ARTICLE SUMMARYO_ST_ABSStrengths and limitationsC_ST_ABSO_LIA comparable and relevant outcome variable quantifying country-level increases in the COVID-19 death rate was derived which is largely independent of different testing policies adopted by each country
C_LIO_LIOur multivariable regression models accounted for public health and economic measures which were adopted by each country in response to the COVID-19 pandemic by adjusting for the Stringency Index
C_LIO_LIThe main limitation of the study stems from the ecological study design which does not allow for conclusions to be drawn for individual COVID-19 patients
C_LIO_LIOnly countries that had reported at least 25 daily deaths over the analysed period were included, which reduced our sample and consequently the power.
C_LI",03/01/2021,10.1101/2020.05.13.20100677,Tiberiu A Pana,University of Aberdeen,medrxiv,0,0
