,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible,new
4,3752,Repurposing Therapeutics for COVID-19: Rapid Prediction of Commercially available drugs through Machine Learning and Docking,"BackgroundThe outbreak of the novel coronavirus disease COVID-19, caused by the SARS-CoV-2 virus has spread rapidly around the globe during the past 3 months. As the virus infected cases and mortality rate of this disease is increasing exponentially, scientists and researchers all over the world are relentlessly working to understand this new virus along with possible treatment regimens by discovering active therapeutic agents and vaccines. So, there is an urgent requirement of new and effective medications that can treat the disease caused by SARS-CoV-2.

Methods and findingsWe perform the study of drugs that are already available in the market and being used for other diseases to accelerate clinical recovery, in other words repurposing of existing drugs. The vast complexity in drug design and protocols regarding clinical trials often prohibit developing various new drug combinations for this epidemic disease in a limited time. Recently, remarkable improvements in computational power coupled with advancements in Machine Learning (ML) technology have been utilized to revolutionize the drug development process. Consequently, a detailed study using ML for the repurposing of therapeutic agents is urgently required. Here, we report the ML model based on the Naive Bayes algorithm, which has an accuracy of around 73% to predict the drugs that could be used for the treatment of COVID-19. Our study predicts around ten FDA approved commercial drugs that can be used for repurposing. Among all, we suggest that the antiretroviral drug Atazanavir (DrugBank ID - DB01072) would probably be one of the most effective drugs based on the selected criterions.

ConclusionsOur study can help clinical scientists in being more selective in identifying and testing the therapeutic agents for COVID-19 treatment. The ML based approach for drug discovery as reported here can be a futuristic smart drug designing strategy for community applications.

Author summaryO_ST_ABSWhy was this study done?C_ST_ABSO_LIThe recent outbreak of novel coronavirus disease (COVID-19) is now considered to be a pandemic threat to the global population. The new coronavirus, 2019-nCoV has now affected more than 200 countries with over 17,83,941 cases confirmed and 1,09,312 deaths reported all over the world [as on 12 April 2020].
C_LIO_LIThere is an urgent need for the development of drugs or vaccine which can save people worldwide. However, the vast complexity in drug design and protocols regarding clinical trials often prohibit developing various new drug combinations for this epidemic disease. Recently, Artificial Intelligence (AI) technology have been utilized to revolutionize the drug development process. Can we use AI based repurposing of existing drugs for accelerated clinical trial in the treatment of COVID-19?
C_LI

What did the researchers do and find?O_LIHere, we report the Machine Learning (ML) model based on the Naive Bayes algorithm, which has an accuracy of around 73% to predict the drugs that could be used for the treatment of COVID-19.
C_LIO_LIOur study predicts around ten FDA approved commercial drugs that can be used for repurposing. Among all, we suggest that the antiretroviral drug Atazanavir (DrugBank ID - DB01072) would probably be one of the most effective drugs based on the selected criterions.
C_LI

What do these findings mean?O_LIThe present approach will save a lot of resources and time for synthesizing novel drugs and thus will be useful for a vast majority of medical research community.
C_LI",23/04/2020,10.1101/2020.04.05.20054254,Soumitra Satapathi,Indian Institute of Technology Roorkee,medrxiv,0,0
5,4124,Nitric oxide gas inhalation to prevent COVID-2019 in healthcare providers,"IntroductionIn human hosts, SARS-CoV-2 causes a respiratory syndrome (named COVID-19) which can range from a mild involvement of the upper airways to a severe pneumonia with acute respiratory syndrome that requires mechanical ventilation in an intensive care unit (ICU). Hospital-associated transmission is an important route of spreading for the SARS-CoV-2 virus and healthcare providers are at the highest risk. As of February 2020, 1716, Chinese healthcare workers had confirmed SARS-CoV-2 infections and at least 6 died. Unfortunately, there is currently no vaccine or pharmacological prophylaxis to decrease the risk of healthcare providers contracting the infection.

Methods and analysisWe will randomize 470 healthcare providers scheduled to work with COVID 19 patients to receive nitric oxide gas administration (NO group, n=235) or no gas administration (control group, n=235). The primary endpoint of this study is the incidence of subjects with COVID-19 disease at 14 days from enrollment. Secondary endpoints are the proportion of healthcare providers who present a positive real time RT-PCR test for SARS-CoV- 2 14 days after enrollment, the proportion of healthcare providers requiring quarantine, and the total number of quarantine days in the two groups.

Ethics and disseminationThe trial protocol is under the approval of The Partners Human Research Committee of Massachusetts General Hospital (Boston, USA) and recruitment is expected to start in April 2020. The results of this study will be published in scientific journals and presented at scientific meetings.",11/04/2020,10.1101/2020.04.05.20054544,Lorenzo Berra,"Department of Anesthesia,Critical Care and Pain Medicine, Massachussets General Hospital, Boston, Massachussets, USA.",medrxiv,0,0
6,4116,Association Between BCG Policy is Significantly Confounded by Age and is Unlikely to Alter Infection or Mortality Rates,"Recently a number of publications looked at the association between COVID-19 morbidity and mortality on one hand and countries policies with respect to BCG vaccination on the other. This connection arises from differences in the rates of infection in countries where BCG vaccination is mandatory compared to countries where mandatory vaccination no longer exists or was never implemented in the first place. In at least 2 preprint publications the authors expressed the view that the ""known immunological benefits"" of BCG vaccination may be behind the biological mechanism of such observation.

One study accounted for different income levels in different groups. Another study did not attempted to do so, instead exploring the differences between countries where a booster shot is given vs others where no such practice exists (finding no connection).

Both of these studies did not explore other potential confounding factors. Meanwhile the press has focused on these headlines and pushed the narrative that BCG vaccination is causally linked to infection and mortality rates. This poses a serious challenge, demonstrated by the recently initiated clinical trials on BCG vaccination within the COVID19 context.

This study shows that population age is a very significant confounding factor that explains the rates of infections much better and has a solid biology mechanism which explains this correlation. It suggests that BCG vaccination may have little or no causal link to infection rates and advises that any follow up studies should control for several confounding factors, such as population age, ethnicity, rates of certain chronic diseases, time from community spread start date, major public policy decisions and income levels.",11/04/2020,10.1101/2020.04.06.20055616,Stefan Kirov,Bristol Myers Squibb,medrxiv,0,0
7,3832,Connecting BCG Vaccination and COVID-19: Additional Data,"The reasons for a wide variation in severity of coronavirus disease 2019 (COVID-19) across the affected countries of the world are not known. Two recent studies have suggested a link between the BCG vaccination policy and the morbidity and mortality due to COVID-19. In the present study we compared the impact of COVID-19 in terms of case fatality rates (CFR) between countries with high disease burden and those with BCG revaccination policies presuming that revaccination practices would have provided added protection to the population against severe COVID-19. We found a significant difference in the CFR between the two groups of countries. Our data further supports the view that universal BCG vaccination has a protective effect on the course of COVID-19 probably preventing progression to severe disease and death. Clinical trials of BCG vaccine are urgently needed to establish its beneficial role in COVID-19 as suggested by the epidemiological data, especially in countries without a universal BCG vaccination policy.",19/04/2020,10.1101/2020.04.07.20053272,Devi Dayal,"Postgraduate Institute of Medical Education and Research, Chandigarh, India",medrxiv,0,0
8,4136,Efficacy of remdesivir versus placebo for the treatment of COVID-19: A protocol for systematic review and meta-analysis of randomized controlled trials,"BackgroundIn spite of the global containment on prevention efforts, the spread of coronavirus disease 2019 (COVID-19) is continuing to rise, with 1.1 million confirmed cases and 60,124 deaths recorded worldwide since 04 April 2020. The outbreak has a significant threat to international health and economy. At present, there is no approved vaccine or treatment for the disease, while efforts are underway. Remdesivir, a nucleotide-analogue antiviral drug developed for Ebola, is determined to prevent and stop infections with COVID-19, while results are yet controversial. Here, we aim to conduct a systematic review and meta-analysis of randomized controlled trials to compare the effectiveness of remdesivir and placebo in patients with COVID-19.

Method and analysisWe will search MEDLINE-PubMed, Embase, Cochrane Library, ClinicalTrials.gov, and Google scholar databases without restriction in year of publication. We will include randomized controlled trials that assessed the effectiveness of remdesivir versus placebo for patients confirmed with COVID-19. We will follow the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA 2015) guidelines for the design and reporting of the results. The primary endpoint will be time to clinical recovery. The secondary endpoints will be all cause mortality, discharged date, frequency of respiratory progression, and treatment-emergent adverse events. Two independent authors will perform study selection, data extraction, and methodology quality assessment. RevMan 5.3 software will be used for statistical analysis. Random/fixed effect model will be carried out to calculate mean differences for continuous outcomes and risk ratio for dichotomous outcomes between remdesivir and placebo.

Ethics and disseminationThis study does not require ethical approval, because no participants data will be involved in this systematic review and meta-analysis. The findings of this study will be published in reputable and peer-reviewed journal.

RegistrationThis review protocol is submitted in PROSPERO database for registration and we will include the registration number in the revised version of the manuscript.

Strengths and limitations of this study This systematic review and meta-analysis will be derived from only randomized controlled trials which will increase the quality of evidences.
 This systematic review and meta-analysis will be derived from only randomized controlled trials which will reduce between study heterogeneity.
 Subgroup and sensitivity analysis will be carried out to identify possible reasons that may cause significant heterogeneity between studies.
 The use of Cochrane risk of bias tool to assess risk of bias for each included studies to extract and synthesize evidence based conclusions.
 One of the limitation of this study might be the restriction of trials published in English language.",14/04/2020,10.1101/2020.04.09.20059196,Desye Gebrie,"1Center for Innovative Drug Development and Therapeutic Trials for Africa, College of Health Sciences, Addis Ababa University, Addis Ababa, Ethiopia 2School of ",medrxiv,0,0
9,4143,Estimating Probabilities of Success of Clinical Trials for Vaccines and Other Anti-Infective Therapeutics,"A key driver in biopharmaceutical investment decisions is the probability of success of a drug development program. We estimate the probabilities of success (PoS) of clinical trials for vaccines and other anti-infective therapeutics using 43,414 unique triplets of clinical trial, drug, and disease between January 1, 2000, and January 7, 2020, yielding 2,544 vaccine programs and 6,829 non-vaccine programs targeting infectious diseases. The overall estimated PoS for an industry-sponsored vaccine program is 39.6%, and 16.3% for an industry-sponsored anti-infective therapeutic. Among industry-sponsored vaccines programs, only 12 out of 27 disease categories have seen at least one approval, with the most successful being against monkeypox (100%), rotavirus (78.7%), and Japanese encephalitis (67.6%). The three infectious diseases with the highest PoS for industry-sponsored non-vaccine therapeutics are smallpox (100%), CMV (31.8%), and onychomycosis (29.8%). Non-industry-sponsored vaccine and non-vaccine development programs have lower overall PoSs: 6.8% and 8.2%, respectively. Viruses involved in recent outbreaks--MERS, SARS, Ebola, Zika--have had a combined total of only 45 non-vaccine development programs initiated over the past two decades, and no approved therapy to date (Note: our data was obtained just before the COVID-19 outbreak and do not contain information about the programs targeting this disease.) These estimates offer guidance both to biopharma investors as well as to policymakers seeking to identify areas most likely to be undeserved by private-sector engagement and in need of public-sector support.",14/04/2020,10.1101/2020.04.09.20059600,Andrew W Lo,MIT,medrxiv,0,0
10,4282,Bayesian Adaptive Clinical Trials for Anti-Infective Therapeutics during Epidemic Outbreaks,"In the midst of epidemics such as COVID-19, therapeutic candidates are unlikely to be able to complete the usual multi-year clinical trial and regulatory approval process within the course of an outbreak. We apply a Bayesian adaptive patient-centered model--which minimizes the expected harm of false positives and false negatives--to optimize the clinical trial development path during such outbreaks. When the epidemic is more infectious and fatal, the Bayesian-optimal sample size in the clinical trial is lower and the optimal statistical significance level is higher. For COVID-19 (assuming a static R0 = 2 and initial infection percentage of 0.1%), the optimal significance level is 7.1% for a clinical trial of a non-vaccine anti-infective therapeutic clinical trial and 13.6% for that of a vaccine. For a dynamic R0 ranging from 2 to 4, the corresponding values are 14.4% and 26.4%, respectively. Our results illustrate the importance of adapting the clinical trial design and the regulatory approval process to the specific parameters and stage of the epidemic.",14/04/2020,10.1101/2020.04.09.20059634,Andrew W Lo,MIT,medrxiv,0,0
11,4267,Molecular mechanism of action of repurposed drugs and traditional Chinese medicine used for the treatment of patients infected with COVID-19: A systematic scoping review,"BackgroundThe emergence of COVID-19 as a pandemic has resulted in the need for urgent development of vaccines and drugs and the conduction of clinical trials to fight the outbreak. Because of the time constraints associated with the development of vaccines and effective drugs, drug repurposing and other alternative treatment methods have been used to treat patients that have been infected by the SARS-CoV-2 virus and have acquired COVID-19.

ObjectiveThe objective of this systematic scoping review is to provide an overview of the molecular mechanism of action of repurposed drugs or alternative treatment medicines used to attenuate COVID-19 disease.

Data SourcesThe research articles or grey literature, including theses, government reports, and official news online, were identified from 4 databases and 1 search engine. The full content of a total of 160 articles that fulfilled our inclusion criteria was analyzed and information about 6 drugs (ritonavir, lopinavir, oseltamivir, remdesivir, favipiravir, and chloroquine) and 4 traditional Chinese medicines (Shuang Huang Lian Kou Fu Ye, TCM combination of Bu Huan Jin Zheng Qi San and Da Yuan Yin, Xue Bi Jing Injection and Qing Fei Pai Du Tang) were extracted.

ConclusionsAll of the repurposed drugs that have been used for the treatment of COVID-19 depend on the ability of the drug to inhibit the proliferation of the SARS-CoV-2 virus by binding to enzyme active sites, viral chain termination, or triggering of the molecular pathway, whereas traditional Chinese medicine has a pivotal role in triggering the inflammation pathway, such as the neuraminidase blocker, to fight the SARS-CoV-2 virus. This review provides an insight to experimental validation of drugs and alternative medicine used for the treatment and control of COVID-19.",04/05/2020,10.1101/2020.04.10.20060376,Fui Fui Lem,Ministry of Health Malaysia,medrxiv,0,0
12,4271,"Hydroxychloroquine in patients mainly with mild to moderate COVID-19: an open-label, randomized, controlled trial","ObjectivesTo assess the efficacy and safety of hydroxychloroquine (HCQ) plus standard-of-care (SOC) compared with SOC alone in adult patients with COVID-19.

DesignMulticenter, open-label, randomized controlled trial.

Setting16 government-designated COVID-19 treatment centers in China through 11 to 29 in February 2020.

Participants150 patients hospitalized with laboratory confirmed COVID-19 were included in the intention to treat analysis. 75 patients were assigned to HCQ plus SOC and 75 to SOC alone.

InterventionsHCQ was administrated with a loading dose of 1, 200 mg daily for three days followed by a maintained dose of 800 mg daily for the remaining days (total treatment duration: 2 or 3 weeks for mild/moderate or severe patients, respectively).

Main outcome measuresThe primary outcome was whether participants had a negative conversion of SARS-CoV-2 by 28 days, and was analyzed according to the intention-to-treat principle. Adverse events were analyzed in the safety population in which HCQ recipients were participants who actually received at least one dose of HCQ and HCQ non-recipients were those actually managed with SOC alone.

ResultsAmong 150 patients, 148 were with mild to moderate disease and 2 were with severe disease. The mean days ({+/-} standard deviation, min to max) from symptoms onset to randomization was 16.6 ({+/-}10.5 days, 3 to 41 days). The negative conversion probability by 28 days in SOC plus HCQ group was 85.4% (95% confidence interval (CI) 73.8% to 93.8%), similar to that in the SOC group 81.3% (95%CI 71.2% to 89.6%). Between-group difference was 4.1% (95%CI -10.3% to 18.5%). In the safety population, adverse events were recorded in 7 (8.8%) HCQ non-recipients (N=80) and in 21 (30%) HCQ recipients (N=70). The most common adverse event in the HCQ recipients was diarrhea, reported in 7 (10%) patients. Two HCQ recipients reported serious adverse events.

ConclusionsThe administration of HCQ did not result in a significantly higher negative conversion probability than SOC alone in patients mainly hospitalized with persistent mild to moderate COVID-19. Adverse events were higher in HCQ recipients than in HCQ non-recipients.

Trial registrationChiCTR2000029868

What is already known on this topic-- The pandemic of coronavirus disease 2019 (COVID-19) imposes substantial burdens on individuals, communities, health-care facilities, markets, governments, etc. globally.
-- There is no specific treatment approved for COVID-19 or vaccine to prevent infection with the novel coronavirus.
-- During the urgent pandemic, media headlines the utility of drugs without solid evidence but buries the side-effects of these drugs.


What this study adds-- In this randomized clinical trial of patients mainly with persistent mild to moderate COVID-19, exposure to hydroxychloroquine led to a similar probability of virus elimination comparing to the current standard-of-care.
-- Adverse events, mostly gastrointestinal related, were significantly increased in patients who received hydroxychloroquine.
-- Overall, the results from our trial do not support the use of hydroxychloroquine in patients with persistent mild to moderate COVID-19.


Print abstractO_ST_ABSStudy questionC_ST_ABSTo assess the efficacy and safety of hydroxychloroquine (HCQ) plus standard-of-care (SOC) compared with SOC alone in adult patients with COVID-19.

MethodsThis is a multicenter, open-label, randomized controlled trial conducted in 16 government-designated COVID-19 treatment centers in China through 11 to 29 in February 2020. A total of 150 patients hospitalized with laboratory confirmed COVID-19 were included in the intention to treat analysis. Among them, 75 patients were assigned to HCQ plus SOC and 75 to SOC alone. HCQ was administrated with a loading dose of 1, 200 mg daily for three days followed by a maintained dose of 800 mg daily for the remaining days (total treatment duration: 2 or 3 weeks for mild/moderate or severe patients, respectively). The primary outcome was whether participants had a negative conversion of SARS-CoV-2 by 28 days, and was analyzed according to the intention to treat principle. Adverse events were analyzed in the safety population in which HCQ recipients were participants who actually received at least one dose of HCQ and HCQ non-recipients were those actually managed with SOC alone.

Study answer and limitationsAmong 150 patients, 148 were with mild to moderate disease and 2 were with severe disease. The mean days ({+/-} standard deviation, min to max) from symptoms onset to randomization was 16.6 ({+/-}10.5 days, 3 to 41 days). The negative conversion probability by 28 days in SOC plus HCQ group was 85.4% (95% confidence interval (CI) 73.8% to 93.8%), similar to that in the SOC group 81.3% (95%CI 71.2% to 89.6%). Between-group difference was 4.1% (95%CI -10.3% to 18.5%). In the safety population, adverse events were recorded in 7 (8.8%) HCQ non-recipients (N=80) and in 21 (30%) HCQ recipients (N=70) with two serious adverse events. The most common adverse event in the HCQ recipients was diarrhea, reported in 7 (10%) patients. Two HCQ recipients reported serious adverse events.

What this study addsOur trial does not support the use of hydroxychloroquine in patients with persistent mild to moderate COVID-19 due to limited effects on virus eliminating and significantly increased adverse events.

Funding, competing interests, data sharingThis work was supported by the Emergent Projects of National Science and Technology (2020YFC0844500), National Natural Science Foundation of China (81970020, 81770025), National Key Research and Development Program of China (2016YFC0901104), Shanghai Municipal Key Clinical Specialty (shslczdzk02202, shslczdzk01103), National Innovative Research Team of High-level Local Universities in Shanghai, Shanghai Key Discipline for Respiratory Diseases (2017ZZ02014), National Major Scientific and Technological Special Project for Significant New Drugs Development (2017ZX09304007), Key Projects in the National Science and Technology Pillar Program during the Thirteenth Five-year Plan Period (2018ZX09206005-004, 2017ZX10202202-005-004, 2017ZX10203201-008). All authors declared no competing interests. Anonymized datasets can be made available on reasonable request after approval from the trial management committee.

Study registrationChiCTR2000029868",07/05/2020,10.1101/2020.04.10.20060558,Qing Xie,"Department of Infectious Disease, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China",medrxiv,0,0
13,4555,Epidemic Landscape and Forecasting of SARS-CoV-2 in India,"BACKGROUNDIndia was one of the countries to institute strict measures for SARS-CoV-2 control in early phase. Since, then, the epidemic growth trajectory was slow before registering an explosion of cases due to local cluster transmissions.

METHODSWe estimated growth rate and doubling time of SARS-CoV-2 for India and high burden states using crowd sourced time series data. Further, we also estimated Basic Reproductive Number (R0) and time dependent reproductive number (Rt) using serial intervals from the data. We compared the R0 estimated from five different methods and R0 from SB was further used in analysis. We modified standard SIR models to SIRD model to accommodate deaths using R0 with the Sequential Bayesian method (SBM) for simulation in SIRD models.

RESULTSOn an average, 2.8 individuals were infected by an index case. The mean serial interval was 3.9 days. The R0 estimated from different methods ranged from 1.43 to 1.85. The mean time to recovery was 14 {+/-} 5.3 days. Daily epidemic growth rate of India was 0.16 [95%CI; 0.14, 0.17] with a doubling time of 4.30 days [95%CI; 3.96, 4.70]. From the SIRD model, it can be deduced that the peak of SARS-CoV-2 in India will be around mid-July to early August 2020 with around 12.5% of population likely to be infected at the peak time.

CONCLUSIONSThe pattern of spread of SARS-CoV-2 in India is suggestive of community transmission. There is a need to increase fund for infectious disease research and epidemiologic studies. All the current gains may be reversed rapidly if air travel and social mixing resumes rapidly. For the time being, these must be resumed only in a phased manner, and should be back to normal levels only after we are prepared to deal with the disease with efficient tools like vaccine or a medicine.",17/04/2020,10.1101/2020.04.14.20065151,Muhammed Shaffi Fazaludeen Koya,"School of Public Health, Boston University, MA, USA",medrxiv,0,0
14,4726,"Epidemiological and Genomic Analysis of SARS-CoV-2 in Ten Patients from a Mid-sized City outside of Hubei, China in the Early Phase of the COVID-19 Outbreak","A novel coronavirus known as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the cause of the ongoing COVID-19 pandemic. In this study, we performed a comprehensive epidemiological and genomic analysis of SARS-CoV-2 genomes from ten patients in Shaoxing, a mid-sized city outside of the epicenter Hubei province, China, during the early stage of the outbreak (late January to early February, 2020). We obtained viral genomes with > 99% coverage and a mean depth of 296X demonstrating that viral genomic analysis is feasible via metagenomics sequencing directly on nasopharyngeal samples with SARS-CoV-2 Real-time PCR Ct values less than 28. We found that a cluster of 4 patients with travel history to Hubei shared the exact same virus with patients from Wuhan, Taiwan, Belgium and Australia, highlighting how quickly this virus spread to the globe. The virus from another cluster of two family members living together without travel history but with a sick contact of a confirmed case from another city outside of Hubei accumulated significantly more mutations (9 SNPs vs average 4 SNPs), suggesting a complex and dynamic nature of this outbreak. We also found 70% patients in this study had the S genotype, consistent with an early study showing a higher prevalence of genotype out of Hubei than that inside Hubei. We calculated an average mutation rate of 1.37x10-3 nucleotide substitution per site per year, which is similar to that of other coronaviruses. Our findings add to the growing knowledge of the epidemiological and genomic characteristics of SARS-CoV-2 that are important for guiding outbreak containment and vaccine development. The moderate mutation rate of this virus also lends hope that development of an effective, long-lasting vaccine may be possible.",02/06/2020,10.1101/2020.04.16.20058560,Shangxin Yang,UCLA Health System,medrxiv,0,0
15,4808,Review of Current Evidence of Hydroxychloroquine in Pharmacotherapy of COVID-19,"PurposeThe COVID-19 Pandemic has literally left the world breathless in the chase for Pharmacotherapy. With the vaccine approval likely more than a year away and novel drugs in early clinical trials, repurposing of existing drugs takes the center stage. A potential drug discussed both in geopolitical and global scientific community is hydroxychloroquine (HCQ). We intend to systematically weigh and analyze the existing evidence of HCQ in the light of published and pre-print data available so far.

MethodsPubMed Ovid MEDLINE, EMBASE, Google scholar databases and official clinical trial Registries of the United States, China, WHO ICTRP were electronically searched for studies for the use of HCQ in patients with COVID-19. Pre-proof article repositories like MedRxiv, BioRxiv, and ChemRxiv were also included in the search. The literature was critically appraised.

ResultsTotal 71 articles were available as of 15th April of which articles of relevance (three in-vitro studies, two open label non-randomized trials, two open label randomized control trials, one follow-up study, three reviews, ten short communications) and 88 clinical trials registered in three clinical trial registries were analyzed. HCQ seems to be efficient in inhibiting of SARS-CoV-2 in in-vitro cell lines; there is lack of strong evidence from human studies.

ConclusionsThe in-vitro cell culture based data of viral inhibition does not suffice for the use of hydroxychloroquine in the patients with COVID-19. Currently literature shows inadequate, low level evidence in human studies. Scarcity of safety and efficacy data warrants medical communities, health care agencies and governments across the world against the widespread use of HCQ in COVID-19 prophylaxis and treatment, until robust evidence becomes available.",13/05/2020,10.1101/2020.04.16.20068205,Umesh Devappa Suranagi,Lady Hardinge Medical College,medrxiv,0,0
16,4912,Self-burnout - a new path to the end of COVID-19,"In this work we use mathematical modeling to describe a possible route to the end of COVID-19, which does not feature either vaccination or herd immunity. We call this route self-burnout. We consider a region with (a) no influx of corona cases from the outside, (b) extensive social distancing, though not necessarily a full lockdown, and (c) high testing capacity relative to the actual number of new cases per day. These conditions can make it possible for the region to initiate the endgame phase of epidemic management, wherein the disease is slowly made to burn itself out through a combination of social distancing, sanitization, contact tracing and preventive testing. The dynamics of the case trajectories in this regime are governed by a single-variable first order linear delay differential equation, whose stability criterion can be obtained analytically. Basis this criterion, we conclude that the social mobility restrictions should be such as to ensure that on the average, one person interacts closely (from the transmission viewpoint) with at most one other person over a 4-5 day period. If the endgame can be played out for a long enough time, we claim that the Coronavirus can eventually get completely contained without affecting a significant fraction of the regions population. We present estimates of the duration for which the epidemic is expected to last, finding an interval of approximately 5-15 weeks after the self-burnout phase is initiated. South Korea, Austria, Australia, New Zealand and the states of Goa, Kerala and Odisha in India appear to be well on the way towards containing COVID by this method.",28/04/2020,10.1101/2020.04.17.20069443,B Shayak,Cornell University,medrxiv,0,0
17,5066,Immune defects and cardiovascular risk in X chromosome monosomy mosaicism mediated by loss of chromosome Y. A risk factor for SARS-CoV-2 vulnerability in elderly men?,"The ongoing pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2, COVID-19) has an estimated overall case fatality ratio of 1.38% in China, being 53% higher in males and increasing exponentially with age. Mosaicism for X chromosome monosomy (XCM) shows a similar increase in aging population mostly driven by loss of chromosome Y in males (LOY), and is associated with a raise in all-cause mortality. Using comparative transcriptomic data, we have defined that XCM/LOY is associated with abnormal peripheral blood cell counts with decreased progenitor cells and multiple biomarkers of immune system dysfunction, pro-coagulation activity and increased cardiovascular risk. Several differentially down-regulated genes in XCM/LOY individuals are involved in the initial immune response to SARS-CoV-2 (OR of enrichment=7.23, p=1.5x10-7), mainly interferon-induced genes that code for inhibitors of viral processes. Thus, our data suggest that XCM mosaicism underlies at least part of the sex-biased severity and mortality of COVID-19 in aging patients. Given its potential relevance for modulating prognosis and therapeutic response, we propose that evaluation of LOY and XCM by currently established methods should be implemented as biomarkers in infected patients, including currently ongoing clinical trials with different medications and vaccines for COVID-19. Testing for LOY/XCM at large scale among elderly people may also be helpful to identify still unexposed people who may be especially vulnerable to severe Covid-19 disease.",24/04/2020,10.1101/2020.04.19.20071357,Juan R Gonzalez,Barcelona Institute for Global Health,medrxiv,0,0
18,5013,"Evidence-Based, Cost-Effective Interventions To Suppress The COVID-19 Pandemic: A Systematic Review","BackgroundCountries vary in their response to the COVID-19 pandemic. Some emphasise social distancing, while others focus on other interventions. Evidence on the effectiveness and cost-effectiveness of these interventions is urgently needed to guide public health policy and avoid unnecessary damage to the economy and other harms. We aimed to provide a comprehensive summary of the evidence on epidemic control, with a focus on cost-effectiveness.

MethodsMEDLINE (1946 to March week 3, 2020) and Embase (1974 to March 27, 2020) were searched using a range of terms related to epidemic control. Reviews, randomized trials, observational studies, and modelling studies were included. Articles reporting on the effectiveness or cost-effectiveness of at least one intervention were included and grouped into higher-quality (randomized trials) and lower-quality evidence (other study designs).

FindingsWe found 1,653 papers; 34 were included. Higher-quality evidence was only available to support the effectiveness of hand washing and face masks. Modelling studies suggested that these measures are highly cost-effective. For other interventions, only evidence from observational and modelling studies was available. A cautious interpretation of this body of lower-quality evidence suggests that: (1) the most cost-effective interventions are swift contact tracing and case isolation, surveillance networks, protective equipment for healthcare workers, and early vaccination (when available); (2) home quarantines and stockpiling antivirals are less cost-effective; (3) social distancing measures like workplace and school closures are effective but costly, making them the least cost-effective options; (4) combinations are more cost-effective than single interventions; (5) interventions are more cost-effective when adopted early and for severe viruses like SARS-CoV-2. For H1N1 influenza, contact tracing was estimated to be 4,363 times more cost-effective than school closures ($2,260 vs. $9,860,000 per death prevented).

ConclusionsA cautious interpretation of this body of evidence suggests that for COVID-19: (1) social distancing is effective but costly, especially when adopted late and (2) adopting as early as possible a combination of interventions that includes hand washing, face masks, swift contact tracing and case isolation, and protective equipment for healthcare workers is likely to be the most cost-effective strategy.

FundingLP holds the Canada Research Chair in Community Approaches and Health Inequalities (CRC 950-232541). This funding source had no role in the design, conduct, or reporting of the study.",15/06/2020,10.1101/2020.04.20.20054726,Carl-Etienne Juneau,University of Montreal,medrxiv,0,0
