,ID,title,abstract,date,doi,author_corresponding,author_corresponding_institution,source,eligible
81,32785213,Phase 1/2 study of COVID-19 RNA vaccine BNT162b1 in adults.,"In March 2020, the World Health Organization (WHO) declared a pandemic of coronavirus disease 2019 (COVID-19), due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)<sup>1</sup>. With rapidly accumulating cases and deaths reported globally<sup>2</sup>, a vaccine is urgently needed. We report the available safety, tolerability, and immunogenicity data from an ongoing placebo-controlled, observer-blinded dose escalation study among 45 healthy adults, 18 to 55 years of age, randomized ",13/08/2020,10.1038/s41586-020-2639-4,Mark J Mulligan,"New York University Langone Vaccine Center, New York, NY, USA",pubmed,1
62,13018,RNA-Based COVID-19 Vaccine BNT162b2 Selected for a Pivotal Efficacy Study,"Background: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections and the resulting disease, coronavirus disease 2019 (COVID-19), have spread to millions of people globally. Multiple vaccine candidates are under development, but no vaccine is currently available. Methods: Healthy adults 18-55 and 65-85 years of age were randomized in an ongoing, placebo-controlled, observer-blinded dose-escalation study to receive 2 doses at 21-day intervals of placebo or either of 2 lipid nanoparticle-formulated, nucleoside-modified RNA vaccine candidates: BNT162b1, which encodes a secreted trimerized SARS-CoV-2 receptor-binding domain, or BNT162b2, which encodes a prefusion stabilized membrane-anchored SARS-CoV-2 full-length spike. In each of 13 groups of 15 participants, 12 received vaccine and 3 received placebo. Groups were distinguished by vaccine candidate, age of participant, and vaccine dose level. Interim safety and immunogenicity data of BNT162b1 in younger adults have been reported previously from US and German trials. We now present additional safety and immunogenicity data from the US Phase 1 trial that supported selection of the vaccine candidate advanced to a pivotal Phase 2/3 safety and efficacy evaluation. Results: In both younger and older adults, the 2 vaccine candidates elicited similar dose-dependent SARS-CoV-2-neutralizing geometric mean titers (GMTs), comparable to or higher than the GMT of a panel of SARS-CoV-2 convalescent sera. BNT162b2 was associated with less systemic reactogenicity, particularly in older adults. Conclusion: These results support selection of the BNT162b2 vaccine candidate for Phase 2/3 large-scale safety and efficacy evaluation, currently underway.",20/08/2020,10.1101/2020.08.17.20176651,Judith Absalon,"Vaccine Research and Development, Pfizer, Inc.",medrxiv,1
116,32702298,"Safety and immunogenicity of the ChAdOx1 nCoV-19 vaccine against SARS-CoV-2: a preliminary report of a phase 1/2, single-blind, randomised controlled trial.","The pandemic of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) might be curtailed by vaccination. We assessed the safety, reactogenicity, and immunogenicity of a viral vectored coronavirus vaccine that expresses the spike protein of SARS-CoV-2. We did a phase 1/2, single-blind, randomised controlled trial in five trial sites in the UK of a chimpanzee adenovirus-vectored vaccine (ChAdOx1 nCoV-19) expressing the SARS-CoV-2 spike protein compared with a meningococcal conjugate vaccine",24/08/2020,10.1016/S0140-6736(20)31604-4,Pedro M Folegatti,"The Jenner Institute, University of Oxford, Oxford, UK",pubmed,1
227,32450106,"Safety, tolerability, and immunogenicity of a recombinant adenovirus type-5 vectored COVID-19 vaccine: a dose-escalation, open-label, non-randomised, first-in-human trial.","A vaccine to protect against COVID-19 is urgently needed. We aimed to assess the safety, tolerability, and immunogenicity of a recombinant adenovirus type-5 (Ad5) vectored COVID-19 vaccine expressing the spike glycoprotein of a severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) strain. We did a dose-escalation, single-centre, open-label, non-randomised, phase 1 trial of an Ad5 vectored COVID-19 vaccine in Wuhan, China. Healthy adults aged between 18 and 60 years were sequentially enrol",17/06/2020,10.1016/S0140-6736(20)31208-3,Feng-Cai Zhu,"NHC Key Laboratory of Enteric Pathogenic Microbiology, Jiangsu Provincial Center for Disease Control and Prevention, Nanjing, China. Electronic address: jszfc@vip.sina",pubmed,1
1,2535,Dynamics of COVID-19 pandemic at constant and time-dependent contact rates,"We constructed a simple Susceptible-Infected-Infectious-Excluded model of the spread of COVID-19. The model is parametrised only by the average incubation period, {tau}, and two rate parameters: contact rate, r_E, and exclusion rate, r_E. The rates can be manipulated by non-therapeutic interventions and determine the basic reproduction number, R = r_C/r_E, and, together with {tau}, the daily multiplication coefficient at the early exponential phase, {beta}. Initial {beta} determines the reduction of r_C required to contain epidemic spread. In the long-term, we consider a scenario based on typical social behaviours, in which r_C first decreases in response to a surge of daily new cases, forcing people to self-isolate, and then slowly increases when people gradually accept higher risk. Consequently, initial abrupt epidemic spread is followed by a plateau and slow regression. This scenario, although economically and socially devastating, will grant time to develop, produce, and distribute a vaccine, or at least limit daily cases to a manageable number.",29/03/2020,10.1101/2020.03.13.20035485,Tomasz Lipniacki,Institute of Fundamental Technological Research,medrxiv,0
2,2976,Global profiling of SARS-CoV-2 specific IgG/ IgM responses of convalescents using a proteome microarray,"COVID-19 is caused by SARS-CoV-2, and has become a global pandemic. There is no highly effective medicine or vaccine, most of the patients were recovered by their own immune response, especially the virus specific IgG and IgM responses. However, the IgG/ IgM responses is barely known. To enable the global understanding of SARS-CoV-2 specific IgG/ IgM responses, a SARS-CoV-2 proteome microarray with 18 out of the 28 predicted proteins was constructed. The microarray was applied to profile the IgG/ IgM responses with 29 convalescent sera. The results suggest that at the convalescent phase 100% of patients had IgG/ IgM responses to SARS-CoV-2, especially to protein N, S1 but not S2. S1 purified from mammalian cell demonstrated the highest performance to differentiate COVID-19 patients from controls. Besides protein N and S1, significant antibody responses to ORF9b and NSP5 were also identified. In-depth analysis showed that the level of S1 IgG positively correlate to age and the level of LDH (lactate dehydrogenase), especially for women, while the level of S1 IgG negatively correlate to Ly% (Lymphocyte percentage). This study presents the first whole picture of the SARS-CoV-2 specific IgG/ IgM responses, and provides insights to develop precise immuno-diagnostics, effective treatment and vaccine.",27/03/2020,10.1101/2020.03.20.20039495,Sheng-Ce Tao,"Shanghai Center for Systems Biomedicine, Key Laboratory of Systems Biomedicine (Ministry of Education), Shanghai Jiao Tong University, Shanghai 200240, China",medrxiv,0
3,3709,Repurposing Therapeutics for COVID-19: Rapid Prediction of Commercially available drugs through Machine Learning and Docking,"Background The outbreak of the novel coronavirus disease COVID 19, caused by the SARS-CoV-2 virus has spread rapidly around the globe during the past 3 months. As the virus infected cases and mortality rate of this disease is increasing exponentially, scientists and researchers all over the world are relentlessly working to understand this new virus along with possible treatment regimens by discovering active therapeutic agents and vaccines. So, there is an urgent requirement of new and effective medications that can treat the disease caused by SARS CoV 2. Methods and findings We perform the study of drugs that are already available in the market and being used for other diseases to accelerate clinical recovery, in other words repurposing of existing drugs. The vast complexity in drug design and protocols regarding clinical trials often prohibit developing various new drug combinations for this epidemic disease in a limited time. Recently, remarkable improvements in computational power coupled with advancements in Machine Learning (ML) technology have been utilized to revolutionize the drug development process. Consequently, a detailed study using ML for the repurposing of therapeutic agents is urgently required. Here, we report the ML model based on the Naive Bayes algorithm, which has an accuracy of around 73% to predict the drugs that could be used for the treatment of COVID-19. Our study predicts around ten FDA approved commercial drugs that can be used for repurposing. Among all, we suggest that the antiretroviral drug Atazanavir (DrugBank ID DB01072) would probably be one of the most effective drugs based on the selected criterions. Conclusions Our study can help clinical scientists in being more selective in identifying and testing the therapeutic agents for COVID 19 treatment. The ML based approach for drug discovery as reported here can be a futuristic smart drug designing strategy for community applications.",23/04/2020,10.1101/2020.04.05.20054254,Soumitra Satapathi,Indian Institute of Technology Roorkee,medrxiv,0
4,4073,Nitric oxide gas inhalation to prevent COVID-2019 in healthcare providers,"Introduction: In human hosts, SARS-CoV-2 causes a respiratory syndrome (named COVID-19) which can range from a mild involvement of the upper airways to a severe pneumonia with acute respiratory syndrome that requires mechanical ventilation in an intensive care unit (ICU). Hospital-associated transmission is an important route of spreading for the SARS-CoV-2 virus and healthcare providers are at the highest risk. As of February 2020, 1716, Chinese healthcare workers had confirmed SARS-CoV-2 infections and at least 6 died. Unfortunately, there is currently no vaccine or pharmacological prophylaxis to decrease the risk of healthcare providers contracting the infection. Methods and analysis. We will randomize 470 healthcare providers scheduled to work with COVID 19 patients to receive nitric oxide gas administration (NO group, n=235) or no gas administration (control group, n=235). The primary endpoint of this study is the incidence of subjects with COVID-19 disease at 14 days from enrollment. Secondary endpoints are the proportion of healthcare providers who present a positive real time RT-PCR test for SARS-CoV-2 14 days after enrollment, the proportion of healthcare providers requiring quarantine, and the total number of quarantine days in the two groups. Ethics and dissemination. The trial protocol is under the approval of The Partners Human Research Committee of Massachusetts General Hospital (Boston, USA) and recruitment is expected to start in April 2020. The results of this study will be published in scientific journals and presented at scientific meetings.",11/04/2020,10.1101/2020.04.05.20054544,Lorenzo Berra,"Department of Anesthesia,Critical Care and Pain Medicine, Massachussets General Hospital, Boston, Massachussets, USA.",medrxiv,0
5,4065,Association Between BCG Policy is Significantly Confounded by Age and is Unlikely to Alter Infection or Mortality Rates,"Recently a number of publications looked at the association between COVID-19 morbidity and mortality on one hand and countries' policies with respect to BCG vaccination on the other. This connection arises from differences in the rates of infection in countries where BCG vaccination is mandatory compared to countries where mandatory vaccination no longer exists or was never implemented in the first place. In at least 2 preprint publications the authors expressed the view that the ""known immunological benefits"" of BCG vaccination may be behind the biological mechanism of such observation. One study accounted for different income levels in different groups. Another study did not attempted to do so, instead exploring the differences between countries where a booster shot is given vs others where no such practice exists (finding no connection). Both of these studies did not explore other potential confounding factors. Meanwhile the press has focused on these headlines and pushed the narrative that BCG vaccination is causally linked to infection and mortality rates. This poses a serious challenge, demonstrated by the recently initiated clinical trials on BCG vaccination within the COVID19 context. This study shows that population age is a very significant confounding factor that explains the rates of infections much better and has a solid biology mechanism which explains this correlation. It suggests that BCG vaccination may have little or no causal link to infection rates and advises that any follow up studies should control for several confounding factors, such as population age, ethnicity, rates of certain chronic diseases, time from community spread start date, major public policy decisions and income levels.",11/04/2020,10.1101/2020.04.06.20055616,Stefan Kirov,Bristol Myers Squibb,medrxiv,0
6,3786,Connecting BCG Vaccination and COVID-19: Additional Data,"The reasons for a wide variation in severity of coronavirus disease 2019 (COVID-19) across the affected countries of the world are not known. Two recent studies have suggested a link between the BCG vaccination policy and the morbidity and mortality due to COVID-19. In the present study we compared the impact of COVID-19 in terms of case fatality rates (CFR) between countries with high disease burden and those with BCG revaccination policies presuming that revaccination practices would have provided added protection to the population against severe COVID-19. We found a significant difference in the CFR between the two groups of countries. Our data further supports the view that universal BCG vaccination has a protective effect on the course of COVID-19 probably preventing progression to severe disease and death. Clinical trials of BCG vaccine are urgently needed to establish its beneficial role in COVID-19 as suggested by the epidemiological data, especially in countries without a universal BCG vaccination policy. Keywords: COVID-19, BCG vaccination, case fatality ratio, mortality, low resource countries",19/04/2020,10.1101/2020.04.07.20053272,Devi Dayal,"Postgraduate Institute of Medical Education and Research, Chandigarh, India",medrxiv,0
7,4085,Efficacy of remdesivir versus placebo for the treatment of COVID-19: A protocol for systematic review and meta-analysis of randomized controlled trials,"Background: In spite of the global containment on prevention efforts, the spread of coronavirus disease 2019 (COVID-19) is continuing to rise, with 1.1 million confirmed cases and 60,124 deaths recorded worldwide since 04 April 2020. The outbreak has a significant threat to international health and economy. At present, there is no approved vaccine or treatment for the disease, while efforts are underway. Remdesivir, a nucleotide-analogue antiviral drug developed for Ebola, is determined to prevent and stop infections with COVID-19, while results are yet controversial. Here, we aim to conduct a systematic review and meta-analysis of randomized controlled trials to compare the effectiveness of remdesivir and placebo in patients with COVID-19. Method and analysis: We will search MEDLINE-PubMed, Embase, Cochrane Library, ClinicalTrials.gov, and Google scholar databases without restriction in year of publication. We will include randomized controlled trials that assessed the effectiveness of remdesivir versus placebo for patients confirmed with COVID-19. We will follow the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA 2015) guidelines for the design and reporting of the results. The primary endpoint will be time to clinical recovery. The secondary endpoints will be all cause mortality, discharged date, frequency of respiratory progression, and treatment-emergent adverse events. Two independent authors will perform study selection, data extraction, and methodology quality assessment. RevMan 5.3 software will be used for statistical analysis. Random/fixed effect model will be carried out to calculate mean differences for continuous outcomes and risk ratio for dichotomous outcomes between remdesivir and placebo. Ethics and dissemination: This study does not require ethical approval, because no participants data will be involved in this systematic review and meta-analysis. The findings of this study will be published in reputable and peer-reviewed journal. Registration: This review protocol is submitted in PROSPERO database for registration and we will include the registration number in the revised version of the manuscript. Keywords: 2019 novel coronavirus, 2019-nCoV, Coronavirus diseases 2019, COVID-19, SARS-cov-2, Remdesivir, Randomized Controlled Trials. Systematic review, Meta-analysis, protocol",14/04/2020,10.1101/2020.04.09.20059196,Desye Gebrie,"1Center for Innovative Drug Development and Therapeutic Trials for Africa, College of Health Sciences, Addis Ababa University, Addis Ababa, Ethiopia 2School of ",medrxiv,0
8,4092,Estimating Probabilities of Success of Clinical Trials for Vaccines and Other Anti-Infective Therapeutics,"A key driver in biopharmaceutical investment decisions is the probability of success of a drug development program. We estimate the probabilities of success (PoS) of clinical trials for vaccines and other anti-infective therapeutics using 43,414 unique triplets of clinical trial, drug, and disease between January 1, 2000, and January 7, 2020, yielding 2,544 vaccine programs and 6,829 non-vaccine programs targeting infectious diseases. The overall estimated PoS for an industry-sponsored vaccine program is 39.6%, and 16.3% for an industry-sponsored anti-infective therapeutic. Among industry-sponsored vaccines programs, only 12 out of 27 disease categories have seen at least one approval, with the most successful being against monkeypox (100%), rotavirus (78.7%), and Japanese encephalitis (67.6%). The three infectious diseases with the highest PoS for industry-sponsored non-vaccine therapeutics are smallpox (100%), CMV (31.8%), and onychomycosis (29.8%). Non-industry-sponsored vaccine and non-vaccine development programs have lower overall PoSs: 6.8% and 8.2%, respectively. Viruses involved in recent outbreaks---MERS, SARS, Ebola, Zika---have had a combined total of only 45 non-vaccine development programs initiated over the past two decades, and no approved therapy to date (Note: our data was obtained just before the COVID-19 outbreak and do not contain information about the programs targeting this disease.) These estimates offer guidance both to biopharma investors as well as to policymakers seeking to identify areas most likely to be undeserved by private-sector engagement and in need of public-sector support.",14/04/2020,10.1101/2020.04.09.20059600,Andrew W Lo,MIT,medrxiv,0
9,4229,Bayesian Adaptive Clinical Trials for Anti-Infective Therapeutics during Epidemic Outbreaks,"In the midst of epidemics such as COVID-19, therapeutic candidates are unlikely to be able to complete the usual multi-year clinical trial and regulatory approval process within the course of an outbreak. We apply a Bayesian adaptive patient-centered model---which minimizes the expected harm of false positives and false negatives---to optimize the clinical trial development path during such outbreaks. When the epidemic is more infectious and fatal, the Bayesian-optimal sample size in the clinical trial is lower and the optimal statistical significance level is higher. For COVID-19 (assuming a static R0=2 and initial infection percentage of 0.1%), the optimal significance level is 7.1% for a clinical trial of a non-vaccine anti-infective therapeutic clinical trial and 13.6% for that of a vaccine. For a dynamic R0 ranging from 2 to 4, the corresponding values are 14.4% and 26.4%, respectively. Our results illustrate the importance of adapting the clinical trial design and the regulatory approval process to the specific parameters and stage of the epidemic.",14/04/2020,10.1101/2020.04.09.20059634,Andrew W Lo,MIT,medrxiv,0
10,4214,Molecular mechanism of action of repurposed drugs and traditional Chinese medicine used for the treatment of patients infected with COVID-19: A systematic scoping review,"Background: The emergence of COVID-19 as a pandemic has resulted in the need for urgent development of vaccines and drugs and the conduction of clinical trials to fight the outbreak. Because of the time constraints associated with the development of vaccines and effective drugs, drug repurposing and other alternative treatment methods have been used to treat patients that have been infected by the SARS-CoV-2 virus and have acquired COVID-19. Objective: The objective of this systematic review was to provide an overview of the molecular mechanism of action of repurposed drugs or alternative treatment medicines used to attenuate COVID-19 disease. Data Sources: The research articles or grey literature, including theses, government reports, and official news online, were identified from 4 databases and 1 search engine. The full content of a total of 160 articles that fulfilled our inclusion criteria was analyzed and information about 6 drugs (ritonavir, lopinavir, oseltamivir, remdesivir, favipiravir, and chloroquine) and 4 traditional Chinese medicines (Shuang Huang Lian Kou Fu Ye, TCM combination of Bu Huan Jin Zheng Qi San and Da Yuan Yin, Xue Bi Jing Injection and Qing Fei Pai Du Tang) were extracted. Conclusions: All of the repurposed drugs that have been used for the treatment of COVID-19 depend on the ability of the drug to inhibit the proliferation of the SARS-CoV-2 virus by binding to enzyme active sites, viral chain termination, or triggering of the molecular pathway, whereas traditional Chinese medicine has a pivotal role in triggering the inflammation pathway, such as the neuraminidase blocker, to fight the SARS-CoV-2 virus. This review provides an insight to experimental validation of drugs and alternative medicine used for the treatment and control of COVID-19.",04/05/2020,10.1101/2020.04.10.20060376,Fui Fui Lem,Ministry of Health Malaysia,medrxiv,0
